pulse,<n>_C mean,<n>_C peak,<n>_E mean,<n>_E peak,mean |<n>_E - <n>_loss|,mean M(t),M(T)
"EsT, repo form",2.1463334465400346,2.8671417826916197,2.170708861091978,3.4569278048503933,0.2851791300313774,0.20081537864446633,0.027113575928918388
Ord,2.230320855326686,3.2411315721832996,2.314808628034194,3.9859642027688453,0.6182469517346535,0.5907057651632608,0.5358947427740788
"EsT, paper form",2.5227908427087544,4.418704663359028,2.5844829727000276,4.8307968528568646,0.46767630662793613,0.24332536932353102,0.31155063834138563
