pulse,cost form,c1,c2,c3,c4,stage-1 C_tot
"EsT, repo form",repo,0.0007148332330140783,0.2699629627177555,0.14772238679650934,4.540115263348823e-06,1.2237501548262715
Ord,repo,5.856469882936644e-07,0.805958794627947,0.1197007268806003,0.0,1.4020768300507531
"EsT, paper form",repo,0.0020519339600968225,0.2818982869383945,0.13407194261229832,4.609216137346652e-06,1.1378889423191987
"EsT, repo form",paper,0.0007148332330140783,-0.06225854238907016,0.0013665247658754681,4.540115263348823e-06,-0.028436603489911855
Ord,paper,5.856469882936644e-07,0.72092477353242,0.0009012437877064252,0.0,0.4379629124926788
"EsT, paper form",paper,0.0020519339600968225,-0.11876254359929676,0.0017504367116557033,4.609216137346652e-06,-0.05869836271340967
