Label,Pulse_file,F(n_c=20),F(n_c=21),F(n_c=22),F(n_c=23),F(n_c=24),F(n_c=25),F(n_c=26),F(n_c=27),F(n_c=28),F(n_c=29),F(n_c=30),F(n_c=31),F(n_c=32),F(n_c=33),F(n_c=34),F(n_c=35),F(n_c=36),F_mean,F_min,F_std,N_steps,Duration_ns,Peak_amp_MHz,RMS_amp_MHz,Smoothness_MHz_per_ns
X,u_X_main.npy,0.9952894585561054,0.9957983494760482,0.9960360727035706,0.9961314043905539,0.9961643117699659,0.9961726300077283,0.9961731670632731,0.9961722020563613,0.9961714584402901,0.9961711142586165,0.9961709997403652,0.9961709713976501,0.9961709654656976,0.9961709640413628,0.9961709640182506,0.9961709645755914,0.9961709650716786,0.9960868801784182,0.9952894585561054,0.0002190240685335867,550,1100.0,3.3097849270454023,1.04523865087251,0.04468040539459382
Y,u_Y_main.npy,0.9955348819125975,0.9960001399412592,0.9962130691419333,0.9962963052423011,0.9963230970143803,0.9963282395230999,0.9963272555929757,0.9963256573561197,0.9963247083156086,0.9963243240043063,0.9963242122571143,0.9963241896481102,0.9963241861945423,0.9963241855523812,0.9963241858424748,0.9963241865497295,0.996324187089842,0.9962510006575752,0.9955348819125975,0.00019555456231009054,550,1100.0,3.351437646756952,1.0500561833727748,0.04511191277106138
Z,u_Z_main.npy,0.9997800413200779,0.9997800409090348,0.9997800408943651,0.9997800408912623,0.9997800408909947,0.9997800408909912,0.9997800408909867,0.9997800408909752,0.9997800408910038,0.9997800408909951,0.9997800408909814,0.9997800408910209,0.9997800408910122,0.9997800408910313,0.9997800408910187,0.9997800408909916,0.9997800408910118,0.999780040917515,0.9997800408909752,1.0073049472445239e-10,550,1100.0,0.8757308914092999,0.25542485286492517,0.00946879975793092
H,u_H_main.npy,0.9969348351608953,0.9969301479432631,0.9969291496867554,0.996928974392064,0.9969289025213096,0.996928882911967,0.9969288827081533,0.9969288839306838,0.9969288842951664,0.9969288843752351,0.9969288843933013,0.996928884395921,0.9969288843959458,0.996928884395873,0.9969288843958783,0.9969288843958539,0.9969288843958544,0.9969293305114187,0.9969288827081533,1.4080366883764945e-06,550,1100.0,1.9878544057469132,0.7265420073949983,0.03181125068841306
T,u_T_main.npy,0.9997851972617611,0.9997851968523876,0.9997851968341871,0.9997851968311253,0.9997851968307994,0.9997851968308122,0.9997851968307968,0.9997851968307844,0.999785196830799,0.9997851968308175,0.9997851968308006,0.9997851968308057,0.999785196830789,0.9997851968308028,0.9997851968308181,0.9997851968307703,0.9997851968308016,0.9997851968576387,0.9997851968307703,1.0115789973321656e-10,550,1100.0,0.8621157812612905,0.25617465410193696,0.009407917177911514
I,u_I_main.npy,0.9997800413200779,0.9997800409090348,0.9997800408943651,0.9997800408912623,0.9997800408909947,0.9997800408909912,0.9997800408909867,0.9997800408909752,0.9997800408910038,0.9997800408909951,0.9997800408909814,0.9997800408910209,0.9997800408910122,0.9997800408910313,0.9997800408910187,0.9997800408909916,0.9997800408910118,0.999780040917515,0.9997800408909752,1.0073049472445239e-10,550,1100.0,0.8757308914092999,0.25542485286492517,0.00946879975793092
U_enc,u_enc_main.npy,0.9954573894947183,0.9954550040407865,0.9954540302922428,0.9954538951943893,0.9954539385575563,0.9954539652673934,0.9954539725274324,0.9954539739958697,0.995453974233343,0.9954539742364499,0.9954539742190089,0.9954539742120854,0.995453974210684,0.995453974210554,0.9954539742105697,0.9954539742105947,0.9954539742105513,0.9954542316073076,0.9954538951943893,8.26372527736257e-07,550,1100.0,3.282899603739514,1.098407479885753,0.03734732293370259
U_dec,u_dec_main.npy,0.9957872873156017,0.9958043005738209,0.9958091208384698,0.9958100436593589,0.9958102282411346,0.9958102548197532,0.9958102519403099,0.9958102514210536,0.9958102512963982,0.9958102510646956,0.9958102509932841,0.995810250984673,0.9958102509831755,0.9958102509827033,0.9958102509826272,0.9958102509826163,0.9958102509826097,0.9958084704742522,0.9957872873156017,5.478109049189631e-06,550,1100.0,2.937226126603568,0.8830255578079591,0.02974542724314099
g0->g6 prep,u_opt_main.npy,0.9832097926786417,0.9829475565161403,0.9827819467783595,0.9826505870152287,0.9825719286266413,0.9825473161524279,0.982545921582257,0.9825479546971474,0.9825488781961007,0.982549078826752,0.9825490943309108,0.9825490885534289,0.9825490857629747,0.98254908510081,0.9825490850080391,0.9825490850055124,0.9825490850080301,0.9826320335199649,0.982545921582257,0.00017878840140625826,250,500.0,5.839182890206102,2.2292520147783152,0.0968597192718502
