Gate,F_pedersen,F_plus_d,Delta,L1,Unitarity_err_2x2
enc,,,,0.0030960129218278176,0.004818718490422492
dec,,,,0.0020013330065510315,0.0030502170044396436
X,0.9974093384717498,0.9982695202963621,0.0008601818246122273,0.0025805454738367928,0.0036727855449397023
Y,0.9976475968698919,0.9984303770453001,0.0007827801754082264,0.002348340526224346,0.0035505445667439947
Z,0.9992392049102549,0.9994927573693264,0.0002535524590715488,0.0007606573772144243,0.001328344418037948
H,0.9983294308755556,0.9988856296860874,0.0005561988105318161,0.0016685964315957813,0.002617622420491172
T,0.9997902206629719,0.9998599379371956,6.971727422377949e-05,0.00020915182267122745,0.00036128634232033527
I,0.9995242331471837,0.9996827592802161,0.00015852613303235508,0.0004755783990973983,0.0007407076608304989
