gate,label,swept,multiplier,is_baseline,seed,maxiter,lambda_deriv,lambda_boundary,lambda_amp,lambda_disc,amp_max,F_coh_train,iterations,converged,train_time_s,F_ped_heldout_mean,F_ped_heldout_min,F_ped_heldout_std,robustness_spread,F_ped_trained_mean,leakage_L1_mean,leakage_L1_max,overfit_gap,peak_amp,roughness,bandwidth_MHz,bandwidth_cav_MHz,bandwidth_tra_MHz,config_hash,reused_pulse,cached,occ99_MHz,occ99_cav_MHz,occ99_tra_MHz,sigma_f_MHz,sigma_f_cav_MHz,sigma_f_tra_MHz,centroid_cav_MHz,centroid_tra_MHz,n_bar_drive,occ99_frac,occ99_frac_cav,occ99_frac_tra,binding_drive,occ99_cav_lo_MHz,occ99_cav_hi_MHz,occ99_tra_lo_MHz,occ99_tra_hi_MHz,band_limit_cav_MHz,band_limit_tra_MHz
X,deriv=0_boundary=0_amp=8e-05_disc=0.5,derivxboundary,,False,42,1500,0.0,0.0,8e-05,0.5,40.0,0.9998819340271409,1500,False,806.0232241153717,0.9996282892941786,0.9977691158062193,0.0006290339052473673,0.002113454898583944,0.9998782879611312,0.0003715760641140431,0.0022302599938175405,0.0002499986669526333,28.7247061885867,3.1103775351980216,17.253369859460065,9.95956025413152,17.253369859460065,ca33b6ccbabb4c74,False,True,51.81818181818181,42.72727272727273,51.81818181818181,12.072209691717365,9.811173113812991,12.072209691717365,-1.7128113108189678,-12.326415726663217,5.618238708597638,0.7912457912457912,0.7912457912457912,0.7851239669421487,cav,-23.636363636363637,19.09090909090909,-32.72727272727273,19.09090909090909,54.0,66.0
X,deriv=0_boundary=6e-06_amp=8e-05_disc=0.5,derivxboundary,,False,42,1500,0.0,6e-06,8e-05,0.5,40.0,0.9998139170818728,1500,False,811.2956397533417,0.9995778940281983,0.9978673104338377,0.0005801689292564688,0.0019461342413160665,0.9998118133293987,0.00042200996881482935,0.00213202511195687,0.0002339193012004248,32.38028116810886,3.1199194093240847,16.240097963991456,10.614097907979561,16.240097963991456,c5d92648b2cf5b72,False,True,47.272727272727266,47.272727272727266,43.63636363636363,11.482397432016997,10.60138516129288,11.482397432016997,0.5193332861421869,-11.484569260239974,5.234534758541465,0.8754208754208753,0.8754208754208753,0.6611570247933883,cav,-25.454545454545453,21.818181818181817,-32.72727272727273,10.909090909090908,54.0,66.0
X,deriv=0_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.0,False,42,1500,0.0,2e-05,8e-05,0.5,40.0,0.9998651012892554,1500,False,830.3429620265961,0.9993430463962978,0.9955709757619413,0.0012799144422263396,0.004294321741723173,0.9998579816912451,0.0006567663636546483,0.0044273254893978375,0.000514935294947283,35.22514644058058,3.162515497176975,16.90402263763918,9.85752469574979,16.90402263763918,651a62fe533443d4,False,True,61.81818181818181,42.72727272727272,61.81818181818181,11.852052483930537,9.85718323711639,11.852052483930537,0.08204728654026372,-12.053001006055458,5.49361941935071,0.9366391184573002,0.7912457912457911,0.9366391184573002,tra,-24.545454545454543,18.18181818181818,-32.72727272727273,29.09090909090909,54.0,66.0
X,deriv=0_boundary=6e-05_amp=8e-05_disc=0.5,derivxboundary,,False,42,1500,0.0,6e-05,8e-05,0.5,40.0,0.9998428124042624,1500,False,815.1974291801453,0.9996854839260673,0.9985501329723444,0.0003817281751717273,0.001288153297828054,0.9998523520494379,0.0003143863183871165,0.0014494339127609779,0.00016686812337063373,35.1170385791777,3.7768474847855638,18.3108007965294,10.032363298539536,18.3108007965294,2daaad8db4c84b71,False,True,62.72727272727272,44.54545454545455,62.72727272727272,13.636142445743687,10.032362483748633,13.636142445743687,0.004043334767625417,-12.220517378964324,5.569971458051196,0.9504132231404957,0.8249158249158249,0.9504132231404957,tra,-21.818181818181817,22.727272727272727,-31.818181818181817,30.909090909090907,54.0,66.0
X,deriv=0_boundary=0.0002_amp=8e-05_disc=0.5,derivxboundary,,False,42,1500,0.0,0.0002,8e-05,0.5,40.0,0.999775609827703,1500,False,860.4597330093384,0.9981164659987709,0.986467517435992,0.003967688151912611,0.013297609578888037,0.9997690680343038,0.0018798914539078448,0.013498384308748612,0.0016526020355328574,34.78327827119536,2.8939191585441546,16.63075782740838,10.897195859212333,16.63075782740838,220962e064f14e37,False,True,64.54545454545455,48.18181818181818,64.54545454545455,14.301571803579112,10.787675191238137,14.301571803579112,-1.5410845409579768,-8.488059251735702,3.8687599141912954,0.977961432506887,0.8922558922558922,0.977961432506887,tra,-26.363636363636363,21.818181818181817,-32.72727272727273,31.818181818181817,54.0,66.0
X,deriv=3e-06_boundary=0_amp=8e-05_disc=0.5,derivxboundary,,False,42,1500,3e-06,0.0,8e-05,0.5,40.0,0.9988544411107245,1500,False,876.0990331172943,0.9978890345091684,0.9913337246691235,0.0022528273256593586,0.007518032959125676,0.9988710886342029,0.002108556926792493,0.008655993126296835,0.0009820541250344927,23.425934756467313,1.5149608391385856,11.298416786248493,6.037615385371614,11.298416786248493,744df6e9369cdde7,False,True,37.27272727272727,24.545454545454547,37.27272727272727,9.042263492181842,5.677940286427968,9.042263492181842,-2.0527526995316108,-6.774340765988761,3.0876667119365364,0.5647382920110193,0.4545454545454546,0.5647382920110193,tra,-12.727272727272727,11.818181818181818,-30.0,7.2727272727272725,54.0,66.0
X,deriv=3e-06_boundary=6e-06_amp=8e-05_disc=0.5,derivxboundary,,False,42,1500,3e-06,6e-06,8e-05,0.5,40.0,0.998945372789803,1500,False,1769.9456429481506,0.9974849359732655,0.9879495199542957,0.003297521595063346,0.010991463582976646,0.9989567682815631,0.0025125406657865003,0.012031318923868106,0.001471832308297616,21.758020053381827,1.5782611061513618,11.248693123783708,5.855472940718207,11.248693123783708,4436b97c177230ce,False,True,36.36363636363636,25.454545454545453,36.36363636363636,8.464233448303666,5.803501460418338,8.464233448303666,-0.7784177274480206,-7.408768394657527,3.37683153813014,0.5509641873278236,0.47138047138047134,0.5509641873278236,tra,-12.727272727272727,12.727272727272727,-24.545454545454543,11.818181818181818,54.0,66.0
X,deriv=3e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.3,False,42,1500,3e-06,2e-05,8e-05,0.5,40.0,0.9983479398153347,1500,False,819.1949801445007,0.9978709371653164,0.9941099969106936,0.0012605712656353198,0.004239043454270064,0.998345482316836,0.0021265701286868554,0.005885269355576428,0.00047454515151956755,21.514973628905267,1.7419121957911623,11.975877467182132,6.463148988113159,11.975877467182132,5edaacb89c8ea4a1,False,True,40.0,28.18181818181818,40.0,9.561379767716813,6.450104622849094,9.561379767716813,0.4104207558699948,-7.211217514848398,3.286790116156973,0.6060606060606061,0.5218855218855218,0.6060606060606061,tra,-13.636363636363637,14.545454545454545,-31.818181818181817,8.181818181818182,54.0,66.0
X,deriv=3e-06_boundary=6e-05_amp=8e-05_disc=0.5,derivxboundary,,False,42,1500,3e-06,6e-05,8e-05,0.5,40.0,0.9989855632425709,1500,False,2738.3312509059906,0.9979472305079735,0.9909966346928846,0.002378115454412748,0.007976354442346345,0.998966250327887,0.002049104995655271,0.008992577973461868,0.0010190198199134803,21.974920411232564,1.611528860911207,12.159234120183461,5.726140857428706,12.159234120183461,abb7e8c4871da894,False,True,38.18181818181818,25.454545454545453,38.18181818181818,9.918278649520833,5.69927588829914,9.918278649520833,0.5540247902092563,-7.033827053595564,3.2059375814018067,0.5785123966942148,0.47138047138047134,0.5785123966942148,tra,-11.818181818181818,13.636363636363637,-30.909090909090907,7.2727272727272725,54.0,66.0
X,deriv=3e-06_boundary=0.0002_amp=8e-05_disc=0.5,derivxboundary,,False,42,1500,3e-06,0.0002,8e-05,0.5,40.0,0.9990416151684882,1500,False,823.7569799423218,0.9971410100242455,0.986067323686678,0.0039707064584905485,0.012970409239442704,0.9989947023713848,0.0028541104614707045,0.013893971855686527,0.0018536923471392797,18.02640807722722,1.3873473430840928,10.714244188328337,5.804914415312099,10.714244188328337,7c8068abdf487979,False,True,40.0,26.363636363636363,40.0,8.855337473699539,5.7953570651208866,8.855337473699539,0.3329682520175523,-6.031419961669076,2.7490519424198157,0.6060606060606061,0.4882154882154882,0.6060606060606061,tra,-11.818181818181818,14.545454545454545,-32.72727272727273,7.2727272727272725,54.0,66.0
