seed,delta_qec_mean,leakage_mean,eta_0L_mean,eta_avg_mean,L(T),L last 48 ns,eta_0L(T),eta_avg(T),error-basis overlap(T)
0,0.3613458793750369,0.32584404445155724,0.1813644103435258,0.3293405133038133,0.6147847550572378,0.6146159972450779,0.40584561303167194,0.6825390236236708,0.3215986515005804
2,0.21917267762844386,0.31986466052644064,0.3819273434118069,0.3447367767412694,0.6225549619962075,0.6393592183827173,0.8694466955454011,0.586314021300458,0.32311793745030387
4,0.1588056359861829,0.3289179557070935,0.5465600907544121,0.48312928897038615,0.6314599398672037,0.6411631876291854,1.783119752341946,1.483062808219126,0.18112511244641147
5,0.17328965748682823,0.33334798916266956,0.48747016855742714,0.3606024328892159,0.8066952667876365,0.7909408155943843,1.7431029382093142,1.0578496496457286,0.11915189073323873
6,0.2886073356905121,0.27916880565955576,0.16962475808888192,0.23539338054801637,0.5491690737603828,0.5698702169932913,0.39669047071607716,0.6565311450918702,0.39890293663719606
8,0.45074945820862106,0.3232708739974964,0.3907526512233899,0.3245174290747851,0.6741101925533339,0.6760666897801603,1.7269358666876378,1.180927345448752,0.19464498755337545
