pulse,description,F1_eigh,infid,c1_jax,F_ET,eta_0L_mean_eq8,eta_avg_mean_eq8,c2_integrand_mean,c3_velvar,c4_amp,delta_qec_mean,leakage_mean_eq7,max_active_fock,trunc_spread,max_eps_cav,max_eps_tra
orig,"cold start, 600 it/stage",0.9992851667670563,0.0007148332329437457,0.0007148332330139302,0.7300370372822442,0.16878778288919552,0.20871659095658604,0.2699629627173921,0.14772238679645555,4.540115263350537e-06,0.15607383247314943,0.2575133424261956,9,8.030315716833769e-06,25.158312496571476,25.165380799536102
stage1,"warm restart, after stage 1",0.9656568094280024,0.03434319057199764,0.03434319057207026,0.7467074864393658,0.12551646086200818,0.20386004629531213,0.2532925135602535,0.007236575861048956,5.799869084278962e-05,0.15520291886919835,0.24166429616189838,9,2.9330854194320466e-06,18.409377065203095,25.205711099241707
stage2,"warm restart, after stage 2",0.9990372168158759,0.0009627831841241274,0.0009627831841959773,0.7356236075196642,0.09584687338228476,0.17683399378560413,0.2643763924799581,0.12033032966447221,6.3462738273371426e-06,0.24303637340175419,0.2541841117634767,10,1.148758968771979e-05,25.146132075360327,25.178601860614183
ord,Ord control,0.9999994143530772,5.85646922846017e-07,5.856469881456345e-07,0.19404120537205294,1.1119310069069466,1.1853205207340423,0.8059587946278535,0.11970072688049752,0.0,0.48079521043976614,0.7399179258013566,8,1.2881745670156874e-09,24.246412968118776,25.131852669104237
