gate,label,swept,multiplier,is_baseline,seed,maxiter,lambda_deriv,lambda_boundary,lambda_amp,lambda_disc,amp_max,F_coh_train,iterations,converged,train_time_s,F_ped_heldout_mean,F_ped_heldout_min,F_ped_heldout_std,robustness_spread,F_ped_trained_mean,leakage_L1_mean,leakage_L1_max,overfit_gap,peak_amp,roughness,bandwidth_MHz,bandwidth_cav_MHz,bandwidth_tra_MHz,config_hash,reused_pulse,cached,occ99_MHz,occ99_cav_MHz,occ99_tra_MHz,sigma_f_MHz,sigma_f_cav_MHz,sigma_f_tra_MHz,centroid_cav_MHz,centroid_tra_MHz,n_bar_drive,occ99_frac,occ99_frac_cav,occ99_frac_tra,binding_drive,occ99_cav_lo_MHz,occ99_cav_hi_MHz,occ99_tra_lo_MHz,occ99_tra_hi_MHz,band_limit_cav_MHz,band_limit_tra_MHz,protocol,F_ped_heldout_mean@500,F_ped_heldout_min@500,robustness_spread@500,occ99_frac@500,F_ped_heldout_mean@1000,F_ped_heldout_min@1000,robustness_spread@1000,occ99_frac@1000
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0,disc,0.0,False,42,1500,1e-05,2e-05,8e-05,0.0,40.0,0.997565604283215,1500,False,879.0417799949646,0.9963737993083355,0.9883304835306918,0.0027752375818360544,0.009234659938771927,0.9975821685507964,0.0036204846661167744,0.0116520237149913,0.0012083692424609271,18.866665547165987,1.2253294901124068,8.82648278424014,5.106374152626775,8.82648278424014,cb1e476d7a527592,False,True,34.54545454545455,25.454545454545453,34.54545454545455,7.5965627363468515,5.09925736074304,7.5965627363468515,-0.26950205105481606,-4.494333424795496,2.048465553689834,0.5234159779614326,0.47138047138047134,0.5234159779614326,tra,-13.636363636363637,11.818181818181818,-29.09090909090909,5.454545454545454,54.0,66.0,,,,,,,,,
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0,disc,0.0,False,43,1500,1e-05,2e-05,8e-05,0.0,40.0,0.9983659061528454,1500,False,1230.7933502197266,0.9982216556317658,0.9970398155654298,0.0003956986508024579,0.0013274478590116212,0.9983673839041685,0.0017756863757902642,0.002958050362613651,0.0001457282724026676,18.29059266653941,1.12121658135226,7.8983987915553495,5.192019277098805,7.8983987915553495,f1fc2767a5c3eb39,False,True,29.09090909090909,22.727272727272727,29.09090909090909,6.3114531972662355,5.148432654453042,6.3114531972662355,-0.671345943852506,-4.7487116157080775,2.1644082113528156,0.44077134986225897,0.42087542087542085,0.44077134986225897,tra,-10.909090909090908,11.818181818181818,-22.727272727272727,6.363636363636363,54.0,66.0,single_phase,0.9981254128027393,0.9974630753102517,0.0008177472617514336,0.4882154882154882,0.9983700579065242,0.998224014747095,0.0002873272693213469,0.4545454545454545
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0,disc,0.0,False,44,1500,1e-05,2e-05,8e-05,0.0,40.0,0.998813818521701,1500,False,1229.973120212555,0.9986448316325139,0.997343123529248,0.0004378760189158088,0.0014727623461888717,0.9988141198133507,0.0013506320884426382,0.0026485682094090635,0.00016928818083672414,22.865612709249024,1.073961176596711,8.546513277921914,4.782493950445093,8.546513277921914,4257f719c7bec7fd,False,True,30.909090909090907,20.0,30.909090909090907,6.715180457854754,4.724146277621846,6.715180457854754,0.7447753578600569,-5.286704136618692,2.4096190230714183,0.4683195592286501,0.37037037037037035,0.4683195592286501,tra,-11.818181818181818,8.181818181818182,-26.363636363636363,4.545454545454545,54.0,66.0,single_phase,0.9978245408485634,0.9956854973609984,0.0024225289180043186,0.5234159779614326,0.9982699398997832,0.9963335794295416,0.002185489530829976,0.44077134986225897
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0.05,disc,0.1,False,42,1500,1e-05,2e-05,8e-05,0.05,40.0,0.9975444032243315,1500,False,2134.8276221752167,0.9959488769690511,0.9857887691590422,0.003546624272628544,0.01175197702363584,0.9975600732192337,0.004044978040740654,0.014185878801950214,0.0016111962501825783,18.733805381984816,1.2172730175341582,8.77094300383947,5.146694955338353,8.77094300383947,e1b16af5b8f4baf8,False,True,33.63636363636364,25.454545454545453,33.63636363636364,7.530648155159067,5.1345629819035965,7.530648155159067,-0.35317410461486487,-4.496529721885521,2.0494666006770834,0.509641873278237,0.47138047138047134,0.509641873278237,tra,-13.636363636363637,11.818181818181818,-27.272727272727273,6.363636363636363,54.0,66.0,,,,,,,,,
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0.05,disc,0.1,False,43,1500,1e-05,2e-05,8e-05,0.05,40.0,0.9983838054014396,1500,False,1237.710305929184,0.9983863344443643,0.9982001431737905,7.682342318137614e-05,0.00033597893857295613,0.9983871831713911,0.0016106388710465547,0.0017960980870679322,8.487270267698577e-07,18.68265242652832,1.1989078145983427,8.806547269374253,5.354421160977228,8.806547269374253,aee96b3f51c5d6a7,False,True,29.999999999999996,20.909090909090907,29.999999999999996,6.490674576811407,5.080090136571937,6.490674576811407,-1.69189543808867,-5.952009605642212,2.7128576142398417,0.4545454545454545,0.38720538720538716,0.4545454545454545,tra,-8.181818181818182,12.727272727272727,-24.545454545454543,5.454545454545454,54.0,66.0,single_phase,0.9980988296467359,0.9974187266210234,0.0008379908125487612,0.4882154882154882,0.9983863344443643,0.9982001431737905,0.00033597893857295613,0.4545454545454545
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0.05,disc,0.1,False,44,1500,1e-05,2e-05,8e-05,0.05,40.0,0.9986562512999296,1500,False,1233.9500949382782,0.9984948983458624,0.997228079443547,0.00042551838823890104,0.001430799937852556,0.9986573861288369,0.0014992130516001457,0.0027604476776805775,0.000162487782974563,21.573023324352153,1.0701555390474558,8.69614297828739,4.781922160509693,8.69614297828739,244414a22d452beb,False,True,29.090909090909086,20.0,29.090909090909086,6.753998324460472,4.717319729340352,6.753998324460472,0.783373550964007,-5.477810633090764,2.496723169138908,0.4407713498622589,0.37037037037037035,0.4407713498622589,tra,-11.818181818181818,8.181818181818182,-24.545454545454543,4.545454545454545,54.0,66.0,single_phase,0.9976551071659874,0.9953313912937883,0.0026313275048120977,0.5234159779614326,0.998015640092816,0.9951059534945293,0.0032836999524800126,0.4545454545454545
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0.15,disc,0.3,False,42,1500,1e-05,2e-05,8e-05,0.15,40.0,0.997510877524264,1500,False,820.540745973587,0.9969798252464473,0.9931998160628669,0.0012872640360982659,0.004312921596665076,0.9975147920749702,0.003015339305951581,0.006792093874507521,0.0005349668285228315,19.61369850380921,1.2470013324165168,9.025316406081906,5.077112090149303,9.025316406081906,c735509996d5f2b3,False,True,35.45454545454545,25.454545454545453,35.45454545454545,7.833264952143761,5.066646055704315,7.833264952143761,-0.3258295906699149,-4.482889293681856,2.0432494501740455,0.5371900826446281,0.47138047138047134,0.5371900826446281,tra,-14.545454545454545,10.909090909090908,-29.09090909090909,6.363636363636363,54.0,66.0,,,,,,,,,
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0.15,disc,0.3,False,43,1500,1e-05,2e-05,8e-05,0.15,40.0,0.998392435739038,1500,False,1224.6897790431976,0.9983950977071656,0.9982060069094075,7.678785542185963e-05,0.00033444003279892165,0.9983968829331918,0.0016000767088428125,0.0017884525880668134,1.7852260262296582e-06,18.41090371572777,1.1954007105913633,8.854326431577432,5.2668446519938055,8.854326431577432,1ae0d417884f2087,False,True,29.999999999999996,20.909090909090907,29.999999999999996,6.45415477770159,5.011029236800855,6.45415477770159,-1.6214927000029271,-6.061599018609073,2.7628072099403247,0.4545454545454545,0.38720538720538716,0.4545454545454545,tra,-8.181818181818182,12.727272727272727,-24.545454545454543,5.454545454545454,54.0,66.0,single_phase,0.9980256029315026,0.99751400657111,0.0006567610152053982,0.4820936639118457,0.9983950977071656,0.9982060069094075,0.00033444003279892165,0.4545454545454545
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0.15,disc,0.3,False,44,1500,1e-05,2e-05,8e-05,0.15,40.0,0.9987953942930561,1500,False,1231.3652539253235,0.9986328576920649,0.9973824682303566,0.00042076816949072795,0.00141497299800597,0.9987957930710963,0.001362653540375025,0.00260937850123355,0.00016293537903144806,22.557376133880968,1.0736026921438628,8.592560234431257,4.769977766413604,8.592560234431257,2c76d05655e5477d,False,True,30.909090909090907,20.0,30.909090909090907,6.754277718437901,4.708821343322146,6.754277718437901,0.7613733964054221,-5.311480385405056,2.4209117526914565,0.4683195592286501,0.37037037037037035,0.4683195592286501,tra,-11.818181818181818,8.181818181818182,-26.363636363636363,4.545454545454545,54.0,66.0,single_phase,0.9979412189649155,0.9956041316799714,0.0026449625149156386,0.5234159779614326,0.998322562989315,0.9966221841162085,0.0019175410623413214,0.42699724517906334
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0.5,deriv,1.0,True,42,1500,1e-05,2e-05,8e-05,0.5,40.0,0.9976319075168323,1500,False,838.8641619682312,0.9962426499853381,0.9871933113419278,0.0031455417997198576,0.010436249813108311,0.9976494778427996,0.003752064831708879,0.012786439440454878,0.00140682785746149,18.908989048700192,1.2265381001148832,8.755535573212303,5.128991835043168,8.755535573212303,024ea7f9987444a0,False,True,33.63636363636363,25.454545454545453,33.63636363636363,7.530349411784247,5.121628864970521,7.530349411784247,-0.27472716181742873,-4.466905070653141,2.0359640249102737,0.5096418732782368,0.47138047138047134,0.5096418732782368,tra,-13.636363636363637,11.818181818181818,-25.454545454545453,8.181818181818182,54.0,66.0,,,,,,,,,
