gate,n_c,L1,L1_E,L2_E_to_C,F_ET,M_E_offdiag,err_dominant_destination,err_P_g_even_nonlogical,err_P_g_odd,err_P_e_even,err_P_e_odd
enc,24,0.0030960129218278176,0.9407269141190412,7.942471354569248e-05,,0.25292471834286906,P_g_even_nonlogical,0.6476473402037982,0.5499634664622259,0.4860640764126467,0.31616626749434534
dec,24,0.0020013330065510315,0.9079158941180628,0.03334445723541449,,0.38442168591307935,P_g_odd,0.46265257400183846,0.7132586524048221,0.34042933910692064,0.41697052001569823
X,24,0.0025805454738367928,0.8405250013819485,5.8259081958804834e-05,0.07476401674062973,0.2957201947357818,P_e_odd,0.4079150269744653,0.5454090951021919,0.48881288464863903,0.5577464751108903
Y,24,0.002348340526224346,0.6983781216064536,1.5668772269414656e-05,0.10162187128142686,0.35082747754857607,P_g_odd,0.3790803661244737,0.7371708293239145,0.3302135800209547,0.5535038869862354
H,24,0.0016685964315957813,0.9351496260019265,2.0602900935764438e-05,0.029910334462863546,0.2286469785411665,P_e_even,0.26686486051006114,0.35092327793431305,0.820342128936201,0.5618285268177141
Z,24,0.0007606573772144243,0.30341932137470784,5.916480343237053e-07,0.3423054970222765,8.900040839267079e-06,P_g_odd,8.55259968477578e-07,1.4010862791815244,0.00011525295146765235,0.5987964293111359
T,24,0.00020915182267122745,0.03795478276153097,9.511443528777194e-08,0.946642471029317,4.295961162740397e-06,P_g_odd,3.998706972089757e-07,1.9389293403241914,2.0361690253522163e-05,0.06104970788618919
I,24,0.0004755783990973983,0.06351292366913641,1.7504913110026217e-08,0.9360082900820618,3.1123576266889426e-06,P_g_odd,1.364913047634936e-07,1.887771676432881,1.6144051921291085e-05,0.11221200801432271
drift(u=0),24,0.019194135674910795,0.020108052847599645,0.0,0.9798850001677897,0.0,P_g_odd,0.0,2.000000000000025,0.0,0.0
