gate,label,swept,multiplier,is_baseline,seed,maxiter,protocol,phase1_maxiter,phase2_maxiter,phase1_F_coh_train,lambda_deriv,lambda_boundary,lambda_amp,lambda_disc,amp_max,F_coh_train,iterations,converged,train_time_s,F_ped_heldout_mean,F_ped_heldout_min,F_ped_heldout_std,robustness_spread,F_ped_trained_mean,leakage_L1_mean,leakage_L1_max,overfit_gap,peak_amp,roughness,bandwidth_MHz,bandwidth_cav_MHz,bandwidth_tra_MHz,occ99_frac,occ99_frac_cav,occ99_frac_tra,binding_drive,occ99_MHz,occ99_cav_MHz,occ99_tra_MHz,occ99_cav_lo_MHz,occ99_cav_hi_MHz,occ99_tra_lo_MHz,occ99_tra_hi_MHz,band_limit_cav_MHz,band_limit_tra_MHz,sigma_f_MHz,sigma_f_cav_MHz,sigma_f_tra_MHz,centroid_cav_MHz,centroid_tra_MHz,n_bar_drive,config_hash,reused_pulse,cached
X,deriv=0_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.0,False,42,2500,two_phase,1000,1500,0.9996896219223638,0.0,2e-05,8e-05,0.5,40.0,0.9999270850951216,1500,False,1334.1615331172943,0.9995397489280141,0.996390259044149,0.0010096385333030243,0.003536362199431986,0.9999038173270338,0.00046021138418683716,0.003609411090799375,0.00036406839901970134,42.89509666564192,3.3675504907540885,17.118850441426684,10.007258366994858,17.118850441426684,0.9641873278236914,0.8080808080808082,0.9641873278236914,tra,63.63636363636363,43.63636363636364,63.63636363636363,-26.363636363636363,17.272727272727273,-32.72727272727273,30.909090909090907,54.0,66.0,12.458508418873965,9.994929713563163,12.458508418873965,0.49658840574540086,-11.740554007915517,5.351209666324301,7c7b26c267f51526,False,True
X,deriv=0_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.0,False,43,2500,two_phase,1000,1500,0.9997937876787568,0.0,2e-05,8e-05,0.5,40.0,0.9999515687648938,1500,False,1675.6407868862152,0.9998504019492835,0.9989794095633941,0.00027744868631124575,0.0009725080546680864,0.9999463836898921,0.00014952918775814415,0.001020113183859861,9.59817406085417e-05,35.61360728854249,2.6187785045262446,14.67579053902533,9.597966003347016,14.67579053902533,0.8815426997245179,0.8585858585858586,0.8815426997245179,tra,58.18181818181818,46.36363636363636,58.18181818181818,-26.363636363636363,20.0,-32.72727272727273,25.454545454545453,54.0,66.0,10.399722599253483,9.430110234643484,10.399722599253483,-1.7871688123614229,-10.354931086391728,4.719658653779274,74e02040066a9a72,False,True
X,deriv=0_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.0,False,44,2500,two_phase,1000,1500,0.9997857450188846,0.0,2e-05,8e-05,0.5,40.0,0.999950036494,1500,False,1650.777244091034,0.9997586070480744,0.9980865673639348,0.0005324203800018345,0.001863514172682712,0.9999479246548637,0.00024124530184087658,0.001912118251822359,0.00018931760678930765,35.280823102080845,2.791085441415698,16.19314673835447,9.423115693482565,16.19314673835447,0.9366391184573002,0.7912457912457912,0.9366391184573002,tra,61.81818181818181,42.72727272727273,61.81818181818181,-22.727272727272727,20.0,-32.72727272727273,29.09090909090909,54.0,66.0,12.021692260181403,9.152816315357637,12.021692260181403,-2.2407728287536095,-10.848820972408687,4.9447679910705045,b93ab0082fae0f07,False,True
X,deriv=0_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.0,False,45,2500,two_phase,1000,1500,0.9998187838969713,0.0,2e-05,8e-05,0.5,40.0,0.9999267321578589,1500,False,1665.3311579227448,0.9998762089387099,0.9994156565113598,0.00014694559528626163,0.0005288794213452741,0.9999234057601376,0.00012377657077254002,0.0005842727859751706,4.719682142773074e-05,45.71075637583555,3.48694060570281,18.420459110085822,9.953452283923562,18.420459110085822,0.9504132231404958,0.8417508417508417,0.9504132231404958,tra,62.72727272727273,45.45454545454545,62.72727272727273,-23.636363636363637,21.818181818181817,-32.72727272727273,30.0,54.0,66.0,13.87460827498369,9.854381418260662,13.87460827498369,-1.4008494679237296,-12.11645818884784,5.522542474406491,a9d8e41798f2f0a9,False,True
X,deriv=0_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.0,False,46,2500,two_phase,1000,1500,0.9998699954211079,0.0,2e-05,8e-05,0.5,40.0,0.9999726382328677,1500,False,1672.2596189975739,0.9997585931375608,0.997803013036863,0.0006203308168120312,0.0021696923186403927,0.9999724420839233,0.00024135915348302083,0.0021965235489023183,0.00021384894636256035,33.57832338872371,2.6878161333950796,14.35953452874924,8.456842732719446,14.35953452874924,0.8402203856749311,0.7912457912457911,0.8402203856749311,tra,55.45454545454545,42.72727272727272,55.45454545454545,-24.545454545454543,18.18181818181818,-32.72727272727273,22.727272727272727,54.0,66.0,12.260836837379482,8.41893943195526,12.260836837379482,-0.7997798741019526,-7.474497436583943,3.406790080484933,ed95223e013451b0,False,True
X,deriv=1e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.1,False,42,2500,two_phase,1000,1500,0.9993800165575923,1.0000000000000002e-06,2e-05,8e-05,0.5,40.0,0.9996228790138889,1500,False,7851.5444757938385,0.9990407150121392,0.9949719451470136,0.0013345605777261072,0.004655394168456062,0.9995141647390248,0.0009587090096266904,0.005024545813027803,0.0004734497268855664,20.298175168034216,1.9396808513901256,13.26107111622919,6.451199253001558,13.26107111622919,0.5509641873278236,0.47138047138047134,0.5509641873278236,tra,36.36363636363636,25.454545454545453,36.36363636363636,-12.727272727272727,12.727272727272727,-31.818181818181817,4.545454545454545,54.0,66.0,9.163249173490676,6.4179480918703105,9.163249173490676,-0.6541514289414208,-9.585972654572435,4.369176232713052,2cb786967c458683,False,True
X,deriv=1e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.1,False,43,2500,two_phase,1000,1500,0.9996552393782713,1.0000000000000002e-06,2e-05,8e-05,0.5,40.0,0.9996965387452421,1500,False,7871.185065984726,0.9996209344745897,0.9988604626012769,0.00024084956842583953,0.0008691003972179923,0.9997001989603485,0.0003789599362479952,0.0011386940869391182,7.926448575878986e-05,22.311401396418088,1.4947172683521468,10.605959107669635,5.905645647929692,10.605959107669635,0.5234159779614325,0.4545454545454546,0.5234159779614325,tra,34.54545454545454,24.545454545454547,34.54545454545454,-14.545454545454545,10.0,-30.909090909090907,3.6363636363636362,54.0,66.0,7.608672772376995,4.804564281027367,7.608672772376995,-3.4340664799020546,-7.3888068885612,3.3677333129267093,4a0a82f22f08357c,False,True
X,deriv=1e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.1,False,44,2500,two_phase,1000,1500,0.9994600071838354,1.0000000000000002e-06,2e-05,8e-05,0.5,40.0,0.9996314638823919,1500,False,7856.461423873901,0.9992777469517904,0.9965746847908966,0.000877168439778708,0.0030569291089458384,0.9996240490246326,0.0007220206291942119,0.003423852357613333,0.0003463020728422528,23.5843350601617,1.5794075732257093,12.223299085467614,5.284992712147894,12.223299085467614,0.6198347107438016,0.4545454545454546,0.6198347107438016,tra,40.90909090909091,24.545454545454547,40.90909090909091,-12.727272727272727,11.818181818181818,-30.909090909090907,10.0,54.0,66.0,9.334232567658617,5.239931721692491,9.334232567658617,-0.6886679311955213,-7.891840273703888,3.5970101520983992,40b99806fa04af5f,False,True
X,deriv=1e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.1,False,45,2500,two_phase,1000,1500,0.9994653539570362,1.0000000000000002e-06,2e-05,8e-05,0.5,40.0,0.9996976165883205,1500,False,7870.526046991348,0.9994052989518635,0.9966691922550693,0.000867264718552928,0.00304565877219265,0.9997011521541225,0.0005945320794788136,0.0033300123577101326,0.0002958532022589999,22.638747532061082,1.762944119600636,10.983624922704545,6.467379363388544,10.983624922704545,0.5922865013774103,0.4545454545454546,0.5922865013774103,tra,39.090909090909086,24.545454545454547,39.090909090909086,-12.727272727272727,11.818181818181818,-30.909090909090907,8.181818181818182,54.0,66.0,7.983287103616766,6.352386346151488,7.983287103616766,1.2141596020343308,-7.543682354386526,3.43832377137034,90d0112c8d46baf3,False,True
X,deriv=1e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.1,False,46,2500,two_phase,1000,1500,0.9994723679455638,1.0000000000000002e-06,2e-05,8e-05,0.5,40.0,0.9995359049279615,1500,False,1692.790139913559,0.9994421712515028,0.9986286351626178,0.0002596217616153427,0.0009074156115590482,0.9995361897981114,0.0005574889199755048,0.0013705318192924754,9.401854660862075e-05,27.676308472655293,1.8087708319178342,10.820009301337647,6.595650107912306,10.820009301337647,0.6749311294765841,0.47138047138047134,0.6749311294765841,tra,44.54545454545455,25.454545454545453,44.54545454545455,-13.636363636363637,11.818181818181818,-30.909090909090907,13.636363636363637,54.0,66.0,9.196854669305285,6.507436023524382,9.196854669305285,-1.0751170846660343,-5.700040830793299,2.5980131407444387,cb3421b3f63e45c5,False,True
