term,weight,c1,F1,progress,F_ET,c3,cerr,F_err_T,c5,c6,delta_qec_mean,delta_qec_tail,L_mean,L_T,L_tail,max_active_fock,max_abs_preimage,nit,gate_ok,improves
control,0.0,0.0020400907262169143,0.9979599092737831,0.9969398639106748,0.7070850375543098,0.10240581437549336,0.6010970633628054,0.39890293663719456,0.0017150330133219734,9755.662423895286,0.2886073356905121,0.05078595979883389,0.27916880565955576,0.5491690737603828,0.5842744124830942,10,60.0,,,
err,0.3,0.0012025034569926873,0.9987974965430073,0.998196244814511,0.6866237984560638,0.08902568473708701,0.009020008546792968,0.990979991453207,0.0015479853228256436,11283.719003938422,0.27067058785548387,0.005027753330151629,0.28402821865154837,0.011341241871105264,0.10839211038808454,9,60.0,500+500,True,True
err,1.0,0.0037366984704668704,0.9962633015295331,0.9943949522942999,0.5918289016493639,0.08412144034290488,0.002963712159399612,0.9970362878406004,0.0009414680415127548,9046.224174732748,0.4819031309125642,0.004770131971829356,0.3524203504944002,0.015996342799285634,0.17200964274309127,11,59.999982300526135,500+500,True,True
err,3.0,0.003848110380060832,0.9961518896199392,0.9942278344299089,0.44503309389243584,0.07127476570048964,0.0009600474529548597,0.9990399525470451,0.0013660032621657407,9133.421466619657,0.7706693058475944,0.008814583113324977,0.4977407813223507,0.013427757527670245,0.17438946553142814,11,59.997728486499966,500+500,True,True
dn,3.0,0.0014306967905910462,0.998569303209409,0.9978539548141134,0.697264515174458,0.12518671352498112,0.8348254824034143,0.16517451759658575,0.00020286825798084937,10593.222759949296,0.336331927466943,0.028598788532532796,0.2648135922294897,0.6556039709710049,0.6746013598987255,10,59.99905228971498,500+500,True,False
dn,10.0,0.002538818560097078,0.9974611814399029,0.9961917721598545,0.6894934486483771,0.0902876941316995,0.7999250543254877,0.20007494567451234,7.963311726859817e-05,11928.990534568944,0.18812762670700867,0.03112004619444696,0.29446060215548653,0.7296546407622676,0.7155947667079696,9,60.0,500+500,True,True
dn,30.0,0.00104721478877845,0.9989527852112216,0.9984291778168325,0.6696673196595504,0.10160862830680499,0.6265093729640439,0.37349062703595615,1.7322971452285027e-05,11484.65004313325,0.14740365956011614,0.017588926341842958,0.31782504238085224,0.5961065917239852,0.5887847431458614,9,59.99805767641289,500+500,True,True
dn,100.0,0.001184163930529336,0.9988158360694707,0.9982237541042062,0.598407617727479,0.0934993687513969,0.9021558974198142,0.09784410258018583,4.468479475217458e-06,11563.107629264301,0.17202095259299816,0.006590456006914005,0.3708605189068792,0.84468468799657,0.8383846250802025,10,60.0,500+500,True,True
