gate,n_c,F_avg,L1,unitarity_err
enc,22,0.99885217271851,0.0011469699951351942,0.0017544520638063
dec,22,0.9963847704942504,0.0036145576716470895,0.0057339142146033166
enc,24,0.9988555945570402,0.001143545992283057,0.0017520491670156074
dec,24,0.996381991008077,0.003617338215005428,0.0057368825919017746
enc,26,0.9988559340724773,0.0011432061467739896,0.0017519468981691375
dec,26,0.996381860859196,0.0036174683822757236,0.005737082458563917
