run,w6,selected,gate_ok,end_ok,et_ok,F1,F1_train_minus_rescore,progress,heldout_spread,F_ET,c3,F_err_T,c5,c6,L_mean,L_tail,L_T,dqec_mean,dqec_tail,dnbar_abs_mean,dnbar_abs_tail,eta0_mean,eta0_tail,max_active_fock,max_abs_preimage,eta_avg_mean,eta_avg_tail,eta_avg_T,M_mean,M_T,E_ramp_start,E_0_100,E_100_300,E_300_rampend,E_ramp_end,t50_ns,t90_ns,peak_eps_T,t_peak_ns,c6_ramp_end_share,v_mean,v_ramp_end_over_mid,F_before_ramp_end,oob_transmon,endpoint_rel_max,cap_ok,nit
control,0.0,False,,,,0.9999817859974591,2.55351295663786e-15,0.9998134405164996,2.5424107263916085e-14,0.9448955995861366,0.20162783448515473,0.8771507450669361,7.574830521127024e-29,420.286015745951,0.05439654526923478,0.07274049828706593,0.11643229285214796,8.846069990879222e-28,1.5534495595800854e-27,7.296252712746863e-15,1.060808999840347e-14,2.4431954369065648e-14,3.374153258355541e-14,4,60.0,0.03709239049645813,0.10065180540377106,0.12269471154188229,0.003884512774635021,0.0082684680007159,0.12597604306377752,0.14883927615192874,0.10341579918680188,0.3786567403328524,0.36908818432841706,457.0,585.0,25.133398231092215,582.0,0.476056496385466,25.849946571835087,1.1859851792855154,0.918270853444788,0.03822241894272316,0.07567239253408337,True,
est_d2,5e-06,False,True,True,True,0.9999778066257147,-1.1102230246251565e-15,0.9997726812415606,5.706546346573305e-14,0.9436277295655576,0.19050651269229243,0.8973216051457172,2.974103748586122e-28,58.11197445192725,0.055641582353911645,0.06726269160990576,0.0965931701104688,2.0548704619793607e-27,5.266835087692175e-27,1.2818180608268574e-14,2.4150080842208282e-14,2.877851144142634e-14,5.2447983857610136e-14,4,60.0,0.03830642839673477,0.09800598289680883,0.11677088674664537,0.004377656204445569,0.007393692892572634,0.04476507015306508,0.07041153969765217,0.16763504446239735,0.569074460832287,0.19287895500766336,405.0,582.0,12.231113005484792,584.0,0.3012151708260188,24.182365716628002,0.7293529955790383,0.9262644132044201,0.0024372389561881946,0.0560806639569377,True,500+500
est_d2,2e-05,False,True,True,True,0.9999723513190482,-1.2212453270876722e-15,0.9997168044955375,2.8310687127941492e-14,0.9420531852756615,0.20074101081567683,0.918190019165011,2.0890093602668104e-28,41.22487524966479,0.05734722726497509,0.05876636980195708,0.07700556991796947,1.4376186184768125e-27,1.4440451369551892e-27,9.340559385294462e-15,1.0317793978030025e-14,1.2204182309960542e-14,2.5896506281829435e-14,4,60.0,0.03536664134788935,0.08457078513608716,0.10145109402728532,0.004926762283121781,0.0054873413915818015,0.024681450416003167,0.04406061129576599,0.21507801338743304,0.609675274806276,0.13118610051052498,383.0,569.0000000000001,7.849235725919254,582.0,0.15330197491057374,23.66714627710173,0.5267063948038321,0.9465317855935957,0.0006796349025733937,0.03409945109615779,True,500+500
est_d2,0.0001,True,True,True,True,0.9999360386798991,8.881784197001252e-16,0.9993448671803328,2.2315482794965646e-14,0.9391520071621651,0.2139959782499543,0.9498829400965073,1.616075824034482e-29,34.041376440003724,0.06053331347251849,0.04053528662592954,0.04802166657889728,4.707065625688919e-28,9.370904050895393e-28,3.1769743057401405e-15,2.2695870683724036e-15,1.8431299998962345e-14,3.0177786799414354e-14,4,60.0,0.026825188884694488,0.04751780174828547,0.06062974041745877,0.005418872937708887,0.0018041206932802867,0.020083602003304026,0.03283652195943073,0.2890134825245574,0.6066077426675637,0.07154225284844812,351.00000000000006,511.0,6.743970369993951,304.0,0.06060065631952413,23.362639108769283,0.3418354308603345,0.9721596904386542,0.00015655656133020193,0.01879108603243158,True,500+419
