n_c,Bare_fidelity
16,0.9906924322208228
18,0.9937139749827852
20,0.994738007170273
22,0.9948664098864772
24,0.9948659566763003
26,0.994859903657066
28,0.9948580514265479
30,0.9948577508641863
32,0.9948577409855883
34,0.9948577464583709
36,0.994857747129201
38,0.994857747102149
40,0.9948577470975417
