method,F_pedersen_trained_mean,F_pedersen_heldout_mean,F_pedersen_heldout_min,L1_trained_mean,L1_heldout_mean
main,0.997641812946282,0.9973439831860212,0.9963681775823142,0.0023541204569024,0.0026519265454993
coh_fresh,0.9959152224544596,0.9958299152152044,0.9954307391363076,0.0040798985113033,0.0041650574322877
pedersen,0.3329461494932847,0.33294615091946,0.3329461494931543,0.0011615515201822,0.0011615472416566
pedersen_warm,0.998141570586598,0.9975444714180635,0.9952600209802771,0.0018567905708431291,0.0024538476986705636
