gate,label,swept,multiplier,is_baseline,seed,maxiter,lambda_deriv,lambda_boundary,lambda_amp,lambda_disc,amp_max,F_coh_train,iterations,converged,train_time_s,F_ped_heldout_mean,F_ped_heldout_min,F_ped_heldout_std,robustness_spread,F_ped_trained_mean,leakage_L1_mean,leakage_L1_max,overfit_gap,peak_amp,roughness,bandwidth_MHz,bandwidth_cav_MHz,bandwidth_tra_MHz,occ99_frac,occ99_frac_cav,occ99_frac_tra,binding_drive,occ99_MHz,occ99_cav_MHz,occ99_tra_MHz,occ99_cav_lo_MHz,occ99_cav_hi_MHz,occ99_tra_lo_MHz,occ99_tra_hi_MHz,band_limit_cav_MHz,band_limit_tra_MHz,sigma_f_MHz,sigma_f_cav_MHz,sigma_f_tra_MHz,centroid_cav_MHz,centroid_tra_MHz,n_bar_drive,F_ped_heldout_mean@500,F_ped_heldout_min@500,robustness_spread@500,occ99_frac@500,F_ped_heldout_mean@1000,F_ped_heldout_min@1000,robustness_spread@1000,occ99_frac@1000,config_hash,reused_pulse,cached
X,deriv=1e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.1,False,43,1500,1.0000000000000002e-06,2e-05,8e-05,0.5,40.0,0.9996761049574793,1500,False,1244.7328770160675,0.9995964172398539,0.9988729937157782,0.0002414444377860665,0.0008331350959478456,0.999678420057229,0.00040351800170298493,0.0011264272379492013,8.200281737502646e-05,21.82279204165299,1.4937273533826578,10.631699757250384,5.988375886960397,10.631699757250384,0.5234159779614326,0.43771043771043766,0.5234159779614326,tra,34.54545454545455,23.636363636363633,34.54545454545455,-12.727272727272727,10.909090909090908,-29.09090909090909,5.454545454545454,54.0,66.0,7.619433982340804,4.877089804214877,7.619433982340804,-3.4748583863449767,-7.414665570143271,3.3795194029823477,0.9992686516007872,0.9987053130874117,0.0006398331487487141,0.5647382920110193,0.9995688371166775,0.998876257665576,0.0007939789507280803,0.5234159779614326,2da3d59eae9a0a9b,False,False
X,deriv=3e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.3,False,42,1500,3e-06,2e-05,8e-05,0.5,40.0,0.9983479398153347,1500,False,819.1949801445007,0.9978709371653164,0.9941099969106936,0.0012605712656353198,0.004239043454270064,0.998345482316836,0.0021265701286868554,0.005885269355576428,0.00047454515151956755,21.514973628905267,1.7419121957911623,11.975877467182132,6.463148988113159,11.975877467182132,0.6060606060606061,0.5218855218855218,0.6060606060606061,tra,40.0,28.18181818181818,40.0,-13.636363636363637,14.545454545454545,-31.818181818181817,8.181818181818182,54.0,66.0,9.561379767716813,6.450104622849094,9.561379767716813,0.4104207558699948,-7.211217514848398,3.286790116156973,,,,,,,,,5edaacb89c8ea4a1,False,True
X,deriv=3e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.3,False,44,1500,3e-06,2e-05,8e-05,0.5,40.0,0.9992530818169391,1500,False,1259.3867299556732,0.9991583532996225,0.998413608647967,0.0002501364414673092,0.0008396000415005211,0.9992528661224195,0.000841360581588213,0.0015857810458361765,9.451282279693274e-05,18.298173470351863,1.4385349400859553,11.9481354320822,5.490699631504453,11.9481354320822,0.5509641873278236,0.40404040404040403,0.5509641873278236,tra,36.36363636363636,21.818181818181817,36.36363636363636,-12.727272727272727,9.09090909090909,-27.272727272727273,9.09090909090909,54.0,66.0,8.54217260979382,5.49018674173562,8.54217260979382,-0.07504654737937466,-8.353994697620196,3.8076548302735627,0.9984489801627342,0.9971317992712129,0.0015042262532867223,0.6336088154269972,0.9990981180915723,0.9982215341880298,0.0009906798200480793,0.5509641873278236,20297f83e0100fa8,False,False
X,deriv=3e-05_boundary=2e-05_amp=8e-05_disc=0.5,deriv,3.0,False,43,1500,3.0000000000000004e-05,2e-05,8e-05,0.5,40.0,0.9948041249230231,1500,False,1322.8465490341187,0.993729734537057,0.9863753670168589,0.0025190225169072085,0.008437299930784126,0.9947857593505843,0.006253312767048691,0.013591371354744752,0.0010560248135272898,15.595607145643656,0.8233684575912555,7.570041378786196,4.316505270638193,7.570041378786196,0.38567493112947654,0.35353535353535354,0.38567493112947654,tra,25.454545454545453,19.09090909090909,25.454545454545453,-10.909090909090908,8.181818181818182,-21.818181818181817,3.6363636363636362,54.0,66.0,5.1024254088688465,4.306590535122373,5.1024254088688465,-0.2923965017603436,-5.592028381854369,2.5487823071350815,0.9926554452805737,0.9924115582122172,0.0002722548257689805,0.4820936639118457,0.9938574668587659,0.9917169273490979,0.0024485250266705894,0.42699724517906334,d8992778a727ae28,False,False
X,deriv=0.0001_boundary=2e-05_amp=8e-05_disc=0.5,deriv,10.0,False,42,1500,0.0001,2e-05,8e-05,0.5,40.0,0.9872986222838273,1500,False,884.2274391651154,0.9872211199763747,0.9862108219422998,0.00033907476219028617,0.0011387724874539762,0.9873494086951827,0.012675866693167292,0.013677324870892127,0.00012828871880798953,16.594979413131465,0.7756038485063753,7.029569635575954,4.003039785370401,7.029569635575954,0.35812672176308535,0.26936026936026936,0.35812672176308535,tra,23.636363636363633,14.545454545454545,23.636363636363633,-8.181818181818182,6.363636363636363,-18.18181818181818,5.454545454545454,54.0,66.0,5.942076683724908,3.899915504525924,5.942076683724908,0.9027660720345072,-3.7558719288793974,1.711883285724429,,,,,,,,,937db8fc3e867878,False,True
X,deriv=0.0001_boundary=2e-05_amp=8e-05_disc=0.5,deriv,10.0,False,44,1500,0.0001,2e-05,8e-05,0.5,40.0,0.9897920583755652,1500,False,1248.3333621025085,0.9890700403593493,0.9833648716112279,0.0019184955472957767,0.006454117985855268,0.9898112472366539,0.01087024189318241,0.016526384722029164,0.0007412068773046121,17.230822582871866,0.6861079883643595,6.139609057853175,3.1329003696836284,6.139609057853175,0.35812672176308535,0.23569023569023567,0.35812672176308535,tra,23.636363636363633,12.727272727272727,23.636363636363633,-7.2727272727272725,5.454545454545454,-18.18181818181818,5.454545454545454,54.0,66.0,4.946354459327912,2.4079849857092723,4.946354459327912,2.0041639241745,-3.6370835769830236,1.6577409193176955,0.9885256787540134,0.9873796441801664,0.0012911007868242619,0.37190082644628103,0.9889380742724436,0.9860949481446815,0.003213020510473008,0.3581267217630854,014a4d2836c91d2a,False,False
X,deriv=1e-05_boundary=2e-06_amp=8e-05_disc=0.5,boundary,0.1,False,43,1500,1e-05,2.0000000000000003e-06,8e-05,0.5,40.0,0.9983505068979159,1500,False,1226.6004741191864,0.9982855904139978,0.9977636760754147,0.00017489664954358294,0.0005871916288295864,0.9983508552676473,0.0017136529200185713,0.0022352716038457343,6.526485364954926e-05,19.35470298897472,1.076380387175293,8.181697771528274,4.856250191559726,8.181697771528274,0.42699724517906334,0.37037037037037035,0.42699724517906334,tra,28.18181818181818,20.0,28.18181818181818,-10.909090909090908,9.09090909090909,-22.727272727272727,5.454545454545454,54.0,66.0,6.141774301756387,4.732363324535338,6.141774301756387,1.0899097612264583,-5.405440486298556,2.4637376874651578,0.9969821759958606,0.9969621119563278,4.2049872346128225e-05,0.4132231404958678,0.9979353753353806,0.9972128855873786,0.000821317908758612,0.42699724517906334,6fb453c5a0ae2dff,False,False
X,deriv=1e-05_boundary=6e-06_amp=8e-05_disc=0.5,boundary,0.3,False,42,1500,1e-05,6e-06,8e-05,0.5,40.0,0.9964411486452188,1500,False,822.6985740661621,0.9958246814850403,0.9920031606383914,0.0013408482111227438,0.004445557606595152,0.9964211984791403,0.004162528257558073,0.007984343146984596,0.0005965169941000159,19.759988653120455,1.3998031493038774,11.215993661539933,5.245997868636576,11.215993661539933,0.5371900826446281,0.38720538720538716,0.5371900826446281,tra,35.45454545454545,20.909090909090907,35.45454545454545,-10.909090909090908,10.0,-30.0,5.454545454545454,54.0,66.0,8.748397278529254,5.245997713945081,8.748397278529254,0.0012739789953428726,-7.018836005544361,3.199104833885306,,,,,,,,,81f7b2838bac5831,False,True
X,deriv=1e-05_boundary=6e-06_amp=8e-05_disc=0.5,boundary,0.3,False,44,1500,1e-05,6e-06,8e-05,0.5,40.0,0.99782898057385,1500,False,1216.251529932022,0.9971534385635632,0.9928676393607431,0.0014969868049162097,0.0049640015079051025,0.997812063340402,0.0028424778389942174,0.007127568257538908,0.0006586247768387565,17.7892020574048,1.0962150469885474,9.49834159367018,4.717186448751457,9.49834159367018,0.5234159779614326,0.33670033670033667,0.5234159779614326,tra,34.54545454545455,18.18181818181818,34.54545454545455,-10.0,8.181818181818182,-28.18181818181818,6.363636363636363,54.0,66.0,6.869225849668864,4.58963955262005,6.869225849668864,1.0895213487169526,-6.559895521750788,2.9899250327031854,0.9969311049075434,0.99549270664731,0.0016272431092366757,0.48209366391184577,0.9972371143454248,0.995736144099706,0.001701120847168336,0.48209366391184577,9063299a2935875c,False,False
X,deriv=1e-05_boundary=0.0002_amp=8e-05_disc=0.5,boundary,10.0,False,43,1500,1e-05,0.0002,8e-05,0.5,40.0,0.9981877305740395,1500,False,1240.3479461669922,0.9982479161579582,0.9981882539930834,0.00010527433693499958,0.00031581431268246085,0.9981913741466331,0.0017510783113161787,0.0018107890551952721,-5.654201132510028e-05,19.451087352210422,1.2183693586203006,9.052897881317142,5.458864339652502,9.052897881317142,0.4820936639118457,0.43771043771043766,0.4820936639118457,tra,31.818181818181817,23.636363636363633,31.818181818181817,-12.727272727272727,10.909090909090908,-25.454545454545453,6.363636363636363,54.0,66.0,6.6509634849898225,5.0301608513349665,6.6509634849898225,-2.1205380657811435,-6.141632093416899,2.7992853661881947,0.9975762385590725,0.9974003839914455,0.0003322944474836165,0.5234159779614326,0.9980425186226276,0.996844704730273,0.0014193208115360623,0.5234159779614326,1f53b69d81e81990,False,False
