Gate,Unitarity_err_full,F_pedersen_qutip,F_pedersen_grape,dF,L1_qutip,L1_grape,dL1
enc,0.0027668904028865368,,,,0.001143347650741533,0.001143545992283057,-1.983415415240941e-07
dec,0.0027327419928649442,,,,0.0036231812468248137,0.003617338215005317,5.843031819496858e-06
X,0.0028143309554661527,0.9982201135228731,0.998216837656463,3.2758664101351087e-06,0.0017783468818781678,0.0017816249600359768,-3.2780781578090057e-06
Y,0.0020996106247972543,0.998720246357458,0.9987216280918538,-1.381734395788925e-06,0.0012690936418143783,0.0012677311453948015,1.362496419576864e-06
Z,0.0012266071236106942,0.9994193917650547,0.9994192608521985,1.3091285622213178e-07,0.0005787331134767815,0.0005788653944009958,-1.3228092421435633e-07
H,0.0033392019814266895,0.9983019309932081,0.9983022391669104,-3.081737023347131e-07,0.0016978279070668512,0.0016975226431508172,3.0526391603391545e-07
T,0.000941314526305926,0.9997893369086276,0.9997893260891616,1.081946598979755e-08,0.0002103378161439906,0.00021035666249558105,-1.8846351590440236e-08
I,0.000606535967525855,0.9995067527482159,0.9995067840418632,-3.129364734011375e-08,0.0004930966152161265,0.0004930575993347119,3.901588141452805e-08
