gate,label,swept,multiplier,is_baseline,seed,maxiter,protocol,phase1_maxiter,phase2_maxiter,phase1_F_coh_train,lambda_deriv,lambda_boundary,lambda_amp,lambda_disc,amp_max,F_coh_train,iterations,converged,train_time_s,F_ped_heldout_mean,F_ped_heldout_min,F_ped_heldout_std,robustness_spread,F_ped_trained_mean,leakage_L1_mean,leakage_L1_max,overfit_gap,peak_amp,roughness,bandwidth_MHz,bandwidth_cav_MHz,bandwidth_tra_MHz,occ99_frac,occ99_frac_cav,occ99_frac_tra,binding_drive,occ99_MHz,occ99_cav_MHz,occ99_tra_MHz,occ99_cav_lo_MHz,occ99_cav_hi_MHz,occ99_tra_lo_MHz,occ99_tra_hi_MHz,band_limit_cav_MHz,band_limit_tra_MHz,sigma_f_MHz,sigma_f_cav_MHz,sigma_f_tra_MHz,centroid_cav_MHz,centroid_tra_MHz,n_bar_drive,config_hash,reused_pulse,cached
X,deriv=0_boundary=6e-06_amp=8e-05_disc=0.5,derivxboundary,,False,42,2500,two_phase,1000,1500,0.9997017389772532,0.0,6e-06,8e-05,0.5,40.0,0.9999269796691231,1500,False,1650.6558289527893,0.9996087383667116,0.9972092590335649,0.0007809461274528637,0.0027198892664150875,0.9999144128622026,0.0003910890446675787,0.0027892988552877807,0.0003056744954910151,31.10654062119326,3.3213611583916323,17.038728427843242,11.030421910842946,17.038728427843242,0.9504132231404958,0.9259259259259259,0.9504132231404958,tra,62.72727272727273,50.0,62.72727272727273,-25.454545454545453,24.545454545454543,-32.72727272727273,30.0,54.0,66.0,12.798926576772702,10.992508928737582,12.798926576772702,0.9137587114926422,-11.247477269155729,5.126470952213186,238edba4349b091c,False,False
X,deriv=3e-06_boundary=0_amp=8e-05_disc=0.5,derivxboundary,,False,43,2500,two_phase,1000,1500,0.9993543079040125,3e-06,0.0,8e-05,0.5,40.0,0.9994787097503625,1500,False,1651.1402502059937,0.999112774445829,0.996054262056993,0.0009807769281681288,0.00343055552479532,0.9994890071249466,0.0008862992078909817,0.0039443012574837955,0.00037623267911757186,20.518773898739482,1.259542143503509,9.260939442357948,5.27259609547683,9.260939442357948,0.44077134986225897,0.35353535353535354,0.44077134986225897,tra,29.09090909090909,19.09090909090909,29.09090909090909,-10.909090909090908,8.181818181818182,-23.636363636363637,5.454545454545454,54.0,66.0,6.718969598798047,5.086604491534932,6.718969598798047,-1.388064959839478,-6.373417206291201,2.904930358382498,c3f46bec95505b3e,False,False
X,deriv=3e-06_boundary=6e-06_amp=8e-05_disc=0.5,derivxboundary,,False,44,2500,two_phase,1000,1500,0.9988540646187732,3e-06,6e-06,8e-05,0.5,40.0,0.9992298134011111,1500,False,1657.2376790046692,0.999095771162435,0.9979957276654875,0.00035215128799542084,0.0012345390140227064,0.9992266365633198,0.0009034712035652144,0.0020035332466303846,0.00013086540088480536,18.43106296848203,1.3274591960365676,11.096802969998972,5.200569249397617,11.096802969998972,0.5509641873278236,0.42087542087542085,0.5509641873278236,tra,36.36363636363636,22.727272727272727,36.36363636363636,-11.818181818181818,10.909090909090908,-28.18181818181818,8.181818181818182,54.0,66.0,8.196553367075312,5.130114506366174,8.196553367075312,0.853138716359449,-7.480344180294407,3.409454959113221,d056bcfe99349894,False,False
X,deriv=3e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.3,False,42,2500,two_phase,1000,1500,0.9981541680458572,3e-06,2e-05,8e-05,0.5,40.0,0.9992998803078825,1500,False,1671.846035003662,0.9971981036118742,0.9825871449977691,0.004845301634203114,0.01670804942227222,0.9991527231876451,0.0027959093098266093,0.017371647986615057,0.0019546195757709217,25.241149377117388,1.6364909305297044,10.413159670344626,5.5324913374251095,10.413159670344626,0.5096418732782368,0.47138047138047134,0.5096418732782368,tra,33.63636363636363,25.454545454545453,33.63636363636363,-13.636363636363637,11.818181818181818,-28.18181818181818,5.454545454545454,54.0,66.0,8.867780329678018,5.257124557900676,8.867780329678018,1.7236884235271446,-5.458604798358958,2.4879693702638823,8348d2bc89f809dc,False,True
X,deriv=1e-05_boundary=0_amp=8e-05_disc=0.5,boundary,0.0,False,43,2500,two_phase,1000,1500,0.9984145580608323,1e-05,0.0,8e-05,0.5,40.0,0.9985117727305708,1500,False,1914.984050989151,0.9984057928031476,0.9972845932480818,0.00035481955192149606,0.0012760884176451492,0.9985177978358744,0.0015930658120160853,0.002714650366400728,0.00011200503272679185,19.18132355458594,1.1091397923572615,8.348448749963621,4.936063720720763,8.348448749963621,0.42699724517906334,0.33670033670033667,0.42699724517906334,tra,28.18181818181818,18.18181818181818,28.18181818181818,-10.0,8.181818181818182,-23.636363636363637,4.545454545454545,54.0,66.0,6.42765189853075,4.774622757043716,6.42765189853075,-1.2520793037727154,-5.3274654013032485,2.4281975393360296,fc68ac730f2f7405,False,True
X,deriv=1e-05_boundary=6e-06_amp=8e-05_disc=0.5,boundary,0.3,False,44,2500,two_phase,1000,1500,0.9974659164013027,1e-05,6e-06,8e-05,0.5,40.0,0.9979249441540039,1500,False,1669.3628001213074,0.9973398883535876,0.9931817825413057,0.0013749517693741678,0.004745834089983525,0.9979007421404835,0.0026559957446132417,0.006812958842754568,0.0005608537868959651,18.105762001619226,1.098966725481193,9.606600747742535,4.784678525496995,9.606600747742535,0.49586776859504134,0.37037037037037035,0.49586776859504134,tra,32.72727272727273,20.0,32.72727272727273,-11.818181818181818,8.181818181818182,-27.272727272727273,5.454545454545454,54.0,66.0,6.770284729239085,4.624326102092641,6.770284729239085,1.228314574470555,-6.815425343407371,3.106392590431801,67c0e2696de17464,False,True
