Gate,N_steps,Duration_ns,Peak_amp_MHz,RMS_amp_MHz,Smoothness_MHz_per_ns,cavity_out_of_band_frac,transmon_out_of_band_frac,endpoint_rel_to_peak,endpoint_abs_rad_per_us
U_enc,550,1100.0,3.55107477987697,1.13247495055845,0.03090429903005746,0.0006187095694917941,0.0007392469296309264,0.01906182869999218,0.4253086824692172
U_X,550,1100.0,2.8211069839383662,0.8844569893505242,0.027529812557802066,0.00036180661113093064,0.0010928621768673743,0.023940905324998124,0.4243654259306431
U_Z,550,1100.0,1.5343623528021364,0.43806104030013626,0.022373826438151376,0.004871488171782575,0.00114977906530034,0.0032212152967379584,0.03105471552166182
U_H,550,1100.0,2.759735016666755,0.8698674482131289,0.030916791946070974,0.0006893856127715257,0.0008596450355398565,0.015301866172601928,0.26533323487474186
U_T,550,1100.0,1.0056303009370284,0.260212260009238,0.010400930299347603,0.008576133266431217,9.123542134300721e-05,0.004673728441551141,0.02953124073853766
