gate,label,swept,multiplier,is_baseline,seed,maxiter,protocol,phase1_maxiter,phase2_maxiter,phase1_F_coh_train,lambda_deriv,lambda_boundary,lambda_amp,lambda_disc,amp_max,F_coh_train,iterations,converged,train_time_s,F_ped_heldout_mean,F_ped_heldout_min,F_ped_heldout_std,robustness_spread,F_ped_trained_mean,leakage_L1_mean,leakage_L1_max,overfit_gap,peak_amp,roughness,bandwidth_MHz,bandwidth_cav_MHz,bandwidth_tra_MHz,occ99_frac,occ99_frac_cav,occ99_frac_tra,binding_drive,occ99_MHz,occ99_cav_MHz,occ99_tra_MHz,occ99_cav_lo_MHz,occ99_cav_hi_MHz,occ99_tra_lo_MHz,occ99_tra_hi_MHz,band_limit_cav_MHz,band_limit_tra_MHz,sigma_f_MHz,sigma_f_cav_MHz,sigma_f_tra_MHz,centroid_cav_MHz,centroid_tra_MHz,n_bar_drive,config_hash,reused_pulse,cached
X,deriv=0_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.0,False,47,2500,two_phase,1000,1500,0.999709766356396,0.0,2e-05,8e-05,0.5,40.0,0.9999512410835801,1500,False,8004.983569860458,0.9997132777226018,0.9981972510321059,0.0005122432711942563,0.0017577398407715439,0.9999268309067899,0.00028664317693808094,0.0018020232102595735,0.00021355318418814218,28.253518420141127,3.3394892344218565,16.82855618281444,11.037201053179327,16.82855618281444,0.8754208754208753,0.8754208754208753,0.7713498622589531,cav,50.90909090909091,47.272727272727266,50.90909090909091,-25.454545454545453,21.818181818181817,-32.72727272727273,18.18181818181818,54.0,66.0,12.996652410867059,10.794530306150126,12.996652410867059,-2.3017216508321168,-10.690525212039194,4.872618601658703,be11c08767cb920c,False,True
X,deriv=1e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.1,False,47,2500,two_phase,1000,1500,0.9995221514099855,1.0000000000000002e-06,2e-05,8e-05,0.5,40.0,0.9997840858470112,1500,False,8004.4561932086945,0.9995568080114701,0.9974712977718602,0.0006614990311413769,0.0023129078214247922,0.999784237305634,0.0004427062182801311,0.002525939050809445,0.00022742929416397217,26.710329378802637,1.4982510167439194,9.17931009811432,6.0440034861518175,9.17931009811432,0.5371900826446281,0.47138047138047134,0.5371900826446281,tra,35.45454545454545,25.454545454545453,35.45454545454545,-13.636363636363637,11.818181818181818,-26.363636363636363,9.09090909090909,54.0,66.0,7.763955318620792,5.557209245499475,7.763955318620792,2.376426633067066,-4.897012526817083,2.2320020632712323,1a6343b2201abfc1,False,True
X,deriv=3e-06_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.3,False,47,2500,two_phase,1000,1500,0.9992462087579214,3e-06,2e-05,8e-05,0.5,40.0,0.9995400143567706,1500,False,7999.3922290802,0.9994337291871392,0.9983775839288008,0.0003340156709815424,0.0011683846499287442,0.9995399094592623,0.0005657863421642488,0.001621555311280387,0.00010618027212305758,26.05780615120574,1.3111656304122787,7.891618848084165,5.518094180008308,7.891618848084165,0.5096418732782368,0.38720538720538716,0.5096418732782368,tra,33.63636363636363,20.909090909090907,33.63636363636363,-12.727272727272727,8.181818181818182,-25.454545454545453,8.181818181818182,54.0,66.0,7.12521693242424,5.453689227447878,7.12521693242424,-0.8406171482075129,-3.392481644656629,1.5462541680294573,6591c8ff126b02e8,False,True
X,deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0.5,deriv,1.0,True,47,2500,two_phase,1000,1500,0.9980529553573801,1e-05,2e-05,8e-05,0.5,40.0,0.9984174458739203,1500,False,8002.126142024994,0.998445523699169,0.9984197055193018,7.65766473320967e-05,0.0002676353211809035,0.9984199184465485,0.001549398017060343,0.0015752862826401426,-2.560525262040869e-05,19.491242341434692,1.0964718937924827,7.698352500407502,5.89667804475691,7.698352500407502,0.49586776859504134,0.38720538720538716,0.49586776859504134,tra,32.72727272727273,20.909090909090907,32.72727272727273,-11.818181818181818,9.09090909090909,-25.454545454545453,7.2727272727272725,54.0,66.0,6.325346477683167,5.487079904126203,6.325346477683167,-2.1593439024973664,-4.388009019793782,2.0000041111184057,59b407dabcb3249d,False,True
X,deriv=3e-05_boundary=2e-05_amp=8e-05_disc=0.5,deriv,3.0,False,47,2500,two_phase,1000,1500,0.9952879282092352,3.0000000000000004e-05,2e-05,8e-05,0.5,40.0,0.9966959903131771,1500,False,1398.1646876335144,0.9965497149112003,0.9950098972865625,0.0004881054635003881,0.0017063919970263797,0.9967159159206809,0.0034098262987198665,0.004950977809694335,0.00016620100948061545,22.297561252951233,0.9630528091824058,5.431402389205981,4.037268417858173,5.431402389205981,0.33057851239669417,0.31986531986531985,0.33057851239669417,tra,21.818181818181817,17.272727272727273,21.818181818181817,-10.0,7.2727272727272725,-16.363636363636363,5.454545454545454,54.0,66.0,4.734502490654398,3.472170432832186,4.734502490654398,2.0599924182387155,-2.661694587938244,1.2131698213027549,bba214381d6c01a0,False,True
X,deriv=0.0001_boundary=2e-05_amp=8e-05_disc=0.5,deriv,10.0,False,47,2500,two_phase,1000,1500,0.990537872691514,0.0001,2e-05,8e-05,0.5,40.0,0.993566440857327,1500,False,1386.0164029598236,0.9935661135558873,0.9935329527890543,1.0493555927634559e-05,3.695383645574424e-05,0.9935695551353989,0.006427739839021966,0.006460919888003014,3.4415795115982917e-06,15.154515227438981,0.7008528218871424,5.5710953309519455,3.862359596734195,5.5710953309519455,0.3168044077134986,0.26936026936026936,0.3168044077134986,tra,20.909090909090907,14.545454545454545,20.909090909090907,-8.181818181818182,6.363636363636363,-16.363636363636363,4.545454545454545,54.0,66.0,3.8702254181599995,3.835324932598239,3.8702254181599995,0.4561845195477878,-4.007300637484393,1.826481603228985,93cc301959ae5290,False,True
