run,stage,w3_stage2,w6_stage2,nit_stage,F1,F1_train_minus_rescore,progress,heldout_spread,F_ET,c3,F_err_T,c5,c6,L_mean,L_tail,L_T,dqec_mean,dqec_tail,dnbar_abs_mean,dnbar_abs_tail,eta0_mean,eta0_tail,max_active_fock,max_abs_preimage,eta_avg_mean,eta_avg_tail,eta_avg_T,M_mean,M_T,E_ramp_start,E_0_100,E_100_300,E_300_rampend,E_ramp_end,t50_ns,t90_ns,peak_eps_T,t_peak_ns,c6_ramp_end_share,v_mean,v_ramp_end_over_mid,F_before_ramp_end,oob_transmon,endpoint_rel_max,cap_ok,stage1_dx_vs_control
control,stage1,0.0,0.0,2000,0.9659067403200146,-5.551115123125783e-16,0.6507949912452584,3.1530333899354446e-14,0.9213451898575655,0.010657381536558234,0.8238762231900291,2.4651192136108953e-28,488.64751332064634,0.07780276733592234,0.0765254171615957,0.1211211768624356,2.9837747724767763e-27,1.1051226120076512e-26,1.3645398362723052e-14,3.489922376587189e-14,1.6518756556609405e-14,4.2014440437052946e-14,4,60.0,0.04129648088509111,0.046705566216772985,0.10016934827149016,0.00472712291370733,0.006164921079981678,0.1719604561332998,0.5172602749562308,0.1793404210980261,0.211440447061142,0.09195885688460115,93.0,538.0,22.156611504908696,56.0,0.19671764749833512,33.033859731523954,0.9204710222587975,0.8879820852154784,0.027547305573528382,0.045338247941251505,True,0.0
control,final,0.0,0.0,2000,0.999981777338983,8.881784197001252e-16,0.9998133518308394,4.929390229335695e-14,0.9452611988098906,0.20165035553423413,0.8735060711599533,1.0206330444497763e-28,526.126820240254,0.054060702931183896,0.07297256669192236,0.12006548612679376,7.03643242721568e-28,1.8367139097207296e-27,7.115402739184838e-15,1.3871417675702545e-14,2.0069564334251674e-14,1.4558546942593083e-14,4,60.0,0.03627368090595888,0.09872339976773979,0.12288780624865096,0.0037285124687909724,0.008326262894936431,0.1323991023117201,0.15475879437697557,0.10222221320427004,0.3887969518408116,0.3542220405779426,458.0,587.0,25.1332100533283,584.0,0.46163940906648254,25.952143649401087,1.2195077543693513,0.9118935194346457,0.0751201299627331,0.052381863177854905,True,
c3s2,stage1,7.0,0.0,2000,0.9659067403200146,-5.551115123125783e-16,0.6507949912452584,3.1530333899354446e-14,0.9213451898575655,0.010657381536558234,0.8238762231900291,2.4651192136108953e-28,488.64751332064634,0.07780276733592234,0.0765254171615957,0.1211211768624356,2.9837747724767763e-27,1.1051226120076512e-26,1.3645398362723052e-14,3.489922376587189e-14,1.6518756556609405e-14,4.2014440437052946e-14,4,60.0,0.04129648088509111,0.046705566216772985,0.10016934827149016,0.00472712291370733,0.006164921079981678,0.1719604561332998,0.5172602749562308,0.1793404210980261,0.211440447061142,0.09195885688460115,93.0,538.0,22.156611504908696,56.0,0.19671764749833512,33.033859731523954,0.9204710222587975,0.8879820852154784,0.027547305573528382,0.045338247941251505,True,0.0
c3s2,final,7.0,0.0,2000,0.9794113304287303,-3.3306690738754696e-16,0.7891176553556586,3.885780586188048e-14,0.8725376331568498,0.01028937471009659,0.7780148522677456,4.222678555628015e-28,427.8827376654758,0.1249282156026897,0.1443486857824856,0.22228941839549235,4.831308056800139e-27,1.634531223677428e-26,1.7480008935961263e-14,4.160060274401697e-14,4.6067633095605205e-14,8.261105206521304e-14,4,60.0,0.07412862869332051,0.09415971382081875,0.037809047987711314,0.006397213761036393,0.01301118912610233,0.14735664674742288,0.3987522730777529,0.20454453355561922,0.2625320272188833,0.13417116614774466,231.0,569.0000000000001,22.1175698095773,56.0,0.21062065977530509,36.840665901066814,0.9098941926187526,0.8225099215211266,0.017494510826888878,0.033492938904012885,True,
d2,stage1,0.0,0.0001,2000,0.9659067403200146,-5.551115123125783e-16,0.6507949912452584,3.1530333899354446e-14,0.9213451898575655,0.010657381536558234,0.8238762231900291,2.4651192136108953e-28,488.64751332064634,0.07780276733592234,0.0765254171615957,0.1211211768624356,2.9837747724767763e-27,1.1051226120076512e-26,1.3645398362723052e-14,3.489922376587189e-14,1.6518756556609405e-14,4.2014440437052946e-14,4,60.0,0.04129648088509111,0.046705566216772985,0.10016934827149016,0.00472712291370733,0.006164921079981678,0.1719604561332998,0.5172602749562308,0.1793404210980261,0.211440447061142,0.09195885688460115,93.0,538.0,22.156611504908696,56.0,0.19671764749833512,33.033859731523954,0.9204710222587975,0.8879820852154784,0.027547305573528382,0.045338247941251505,True,0.0
d2,final,0.0,0.0001,343,0.9999360182840112,1.7763568394002505e-15,0.9993446582725818,1.9317880628477724e-14,0.9391505361791666,0.21395234189809362,0.9498728920783045,3.696191784590296e-28,34.039692667950504,0.06053537157141613,0.04054756669980841,0.04803271302573575,6.474096980776313e-27,6.548654848507316e-27,2.4940301257005473e-14,2.709763197070034e-14,3.630631267572773e-14,4.619731170225484e-14,4,60.0,0.026802267349035378,0.04741481142379009,0.060537476733795975,0.005418505529335549,0.0017984724384441098,0.02016338985884821,0.03292277506743685,0.28926620117074225,0.6063804177890653,0.07143060597275562,351.00000000000006,511.0,6.741546797838147,304.0,0.060641829957333734,23.363312086138162,0.3419210490932047,0.972186897093312,0.0001582390279926017,0.018363640342835337,True,
c3s2_d2,stage1,7.0,0.0001,2000,0.9659067403200146,-5.551115123125783e-16,0.6507949912452584,3.1530333899354446e-14,0.9213451898575655,0.010657381536558234,0.8238762231900291,2.4651192136108953e-28,488.64751332064634,0.07780276733592234,0.0765254171615957,0.1211211768624356,2.9837747724767763e-27,1.1051226120076512e-26,1.3645398362723052e-14,3.489922376587189e-14,1.6518756556609405e-14,4.2014440437052946e-14,4,60.0,0.04129648088509111,0.046705566216772985,0.10016934827149016,0.00472712291370733,0.006164921079981678,0.1719604561332998,0.5172602749562308,0.1793404210980261,0.211440447061142,0.09195885688460115,93.0,538.0,22.156611504908696,56.0,0.19671764749833512,33.033859731523954,0.9204710222587975,0.8879820852154784,0.027547305573528382,0.045338247941251505,True,0.0
c3s2_d2,final,7.0,0.0001,2000,0.9779556308843103,7.882583474838611e-15,0.774207447973761,1.2323475573339238e-14,0.8578093273904634,0.008790213433501589,0.9531156538006247,1.5160738863113532e-27,126.96160325998693,0.14117025083553214,0.0283705725098159,0.03528206540476756,1.940990762983762e-26,4.029734849075677e-26,4.1043892263438005e-14,6.715484270671814e-14,6.12523769983925e-14,8.938140089681364e-14,4,60.0,0.05088118150410363,0.026100152129495187,0.05578480812639151,0.0016672711421684687,9.908757620757935e-05,0.24631648264044376,0.25823849301064083,0.20165533286753382,0.33255854107798904,0.20754763304383628,308.0,580.0,17.438946189274763,12.0,0.2836988933455818,31.93606973619056,0.9134113196769341,0.8655890581382701,0.011764573992904249,0.05169216863313996,True,
