Gate,L1_C,L1_E,L2_E_to_C,F_ET,M_E_offdiag,Dominant_destination,nbar_plus,nbar_minus,kl_rel_mismatch,drift_L1_E,drift_L2_E_to_C
dec,0.003617338215005317,0.925931285199573,0.06749835550591375,,0.3061564009366247,"g, odd photon (wrong parity)",3.264082786966028,2.756188921205315,0.16872788816868392,0.020108052847599645,0.0
X,0.0017816249600359768,0.9246684735044726,3.0459634516646203e-05,0.060611442391219794,0.24549487464729583,"transmon excited, even photon",3.264082786966028,2.756188921205315,0.16872788816868392,0.020108052847599645,0.0
enc,0.001143545992283057,0.9185276060053943,7.4310457083703e-05,,0.22809722874962857,"g, even photon (outside code / radial)",3.264082786966028,2.756188921205315,0.16872788816868392,0.020108052847599645,0.0
Y,0.0012677311453948015,0.865717425595505,1.77813867747274e-05,0.05509833917624766,0.37925023006136777,"g, odd photon (wrong parity)",3.264082786966028,2.756188921205315,0.16872788816868392,0.020108052847599645,0.0
H,0.0016975226431508172,0.8461680822874591,1.3488138652861292e-05,0.06606870334688966,0.10591875103394273,"g, odd photon (wrong parity)",3.264082786966028,2.756188921205315,0.16872788816868392,0.020108052847599645,0.0
Z,0.0005788653944009958,0.23463103929225482,3.5386744947692013e-06,0.33272339404942713,0.0002316785488377057,"g, odd photon (wrong parity)",3.264082786966028,2.756188921205315,0.16872788816868392,0.020108052847599645,0.0
I,0.0004930575993347119,0.08960100892470924,1.1197554647736112e-07,0.9101469273037193,1.9322622761120846e-06,"g, odd photon (wrong parity)",3.264082786966028,2.756188921205315,0.16872788816868392,0.020108052847599645,0.0
T,0.00021035666249558105,0.04834348247351694,3.494190883726333e-07,0.9381925329040562,0.00018012385926551152,"g, odd photon (wrong parity)",3.264082786966028,2.756188921205315,0.16872788816868392,0.020108052847599645,0.0
