F_pedersen_trained_mean,F_pedersen_heldout_mean,F_pedersen_heldout_min,L1_trained_mean,L1_heldout_mean,gate,method,pulse_path,wall_clock_s,iterations,final_fidelity
0.9969027891305348,0.996891455848748,0.9968485455835637,0.0030967219431789297,0.0031080476626703215,enc,main,/Users/ziyi_dong_mac/Documents/GitHub/Qubit-Drive-GRAPE/pulses/u_enc_main.npy,,,
0.9993926569915539,0.9993841715267365,0.9993516529973626,0.000607093636881865,0.0006155821916659532,enc,coh_fresh,/Users/ziyi_dong_mac/Documents/GitHub/Qubit-Drive-GRAPE/pulses/u_enc_coh_fresh.npy,817.7942847910001,1500.0,0.9993925617474899
0.9978651532356384,0.9978521767618457,0.9978002911081575,0.0021342365487512227,0.0021472243732333363,enc,pedersen,/Users/ziyi_dong_mac/Documents/GitHub/Qubit-Drive-GRAPE/pulses/u_enc_pedersen.npy,865.350657291,1500.0,0.9978652884230921
0.9979969669058381,0.9979754826970793,0.9979010608071434,0.002001646416222728,0.002023126972168288,dec,main,/Users/ziyi_dong_mac/Documents/GitHub/Qubit-Drive-GRAPE/pulses/u_dec_main.npy,,,
0.998068336957603,0.9980782524592227,0.9980685380112365,0.0019312423209470648,0.0019213155825980044,dec,coh_fresh,/Users/ziyi_dong_mac/Documents/GitHub/Qubit-Drive-GRAPE/pulses/u_dec_coh_fresh.npy,833.9907938750002,1500.0,0.9980683345482024
0.9986955286595208,0.9984071818866381,0.9974013318778341,0.0013041656085162427,0.0015924618719280082,dec,pedersen,/Users/ziyi_dong_mac/Documents/GitHub/Qubit-Drive-GRAPE/pulses/u_dec_pedersen.npy,822.5360860000001,1500.0,0.9987006245099361
0.9973719096393409,0.9965527960878496,0.9939273043264572,0.00261794765610975,0.0034354925923455017,X,main,/Users/ziyi_dong_mac/Documents/GitHub/Qubit-Drive-GRAPE/pulses/u_X_main.npy,,,
0.9976494778427996,0.996942994395055,0.9946146580597489,0.002347331565282218,0.003052989254572691,X,coh_fresh,/Users/ziyi_dong_mac/Documents/GitHub/Qubit-Drive-GRAPE/pulses/u_X_coh_fresh.npy,819.227727375,1500.0,0.9976319075168323
0.9988606045173273,0.9987656059591364,0.998447157432229,0.001134757012881867,0.0012298858637501907,X,pedersen,/Users/ziyi_dong_mac/Documents/GitHub/Qubit-Drive-GRAPE/pulses/u_X_pedersen.npy,859.8982573330001,1500.0,0.9988608773797064
0.997641812946282,0.9973439831860211,0.9963681775823142,0.002354120456902494,0.0026519265454993278,Y,main,/Users/ziyi_dong_mac/Documents/GitHub/Qubit-Drive-GRAPE/pulses/u_Y_main.npy,,,
0.9959152224544595,0.9958299152152043,0.9954307391363075,0.0040798985113033774,0.004165057432287789,Y,coh_fresh,/Users/ziyi_dong_mac/Documents/GitHub/Qubit-Drive-GRAPE/pulses/u_Y_coh_fresh.npy,835.5106947500003,1500.0,0.9959144594525149
0.33294614949328477,0.33294615091946,0.3329461494931543,0.001161551520182232,0.0011615472416566242,Y,pedersen,/Users/ziyi_dong_mac/Documents/GitHub/Qubit-Drive-GRAPE/pulses/u_Y_pedersen.npy,828.2067052920002,1500.0,0.33294614949318624
0.9992392049130564,0.9992392051510761,0.9992392049102022,0.0007606573744138497,0.0007606571365362136,Z,main,/Users/ziyi_dong_mac/Documents/GitHub/Qubit-Drive-GRAPE/pulses/u_Z_main.npy,,,
0.9993828186028643,0.9993828188009838,0.9993828186001646,0.0006170893424046753,0.0006170891443557424,Z,coh_fresh,/Users/ziyi_dong_mac/Documents/GitHub/Qubit-Drive-GRAPE/pulses/u_Z_coh_fresh.npy,837.1211157080006,1500.0,0.9993827725727826
0.9994823582287632,0.9994823597710811,0.9994823582280734,0.000513930263682294,0.0005139287183249186,Z,pedersen,/Users/ziyi_dong_mac/Documents/GitHub/Qubit-Drive-GRAPE/pulses/u_Z_pedersen.npy,868.5314787500001,1500.0,0.9994823582280743
