gate,variant,F1,max_active_fock,trunc_spread,delta_qec_mean,leakage_mean,eta_0L_mean,eta_avg_mean,c2_integrand_mean
X,est,0.9992851667670563,9,8.030315716833769e-06,0.15607383247314943,0.2575133424261956,0.16878778288919552,0.20871659095658604,0.2699629627173921
X,ord,0.9999994143530772,8,1.2881745670156874e-09,0.48079521043976614,0.7399179258013566,1.1119310069069466,1.1853205207340423,0.8059587946278535
