gate,variant,F1,max_active_fock,trunc_spread,delta_qec_mean,leakage_mean,eta_0L_mean,eta_avg_mean,c2_integrand_mean
H,est,0.9996753436086162,10,6.881986789331052e-07,0.15129227845042093,0.17241132570415965,0.1983085340294142,0.17214286244605873,0.18248599486819275
H,ord,0.9999987133810553,8,9.70157343349598e-09,0.28728159802382003,0.7796761485968695,1.0288640617960414,1.0679794095078863,0.8353939890961123
