Gate,L1,L2,P_g_even_nonlogical,P_g_odd,P_e_even,P_e_odd,Dominant_destination
enc,0.0030960129218278176,0.09760694496589353,0.0017316974897386705,0.002459475916990023,0.0009070988638202303,0.0010937535731247677,"g, odd photon (wrong parity)"
X,0.0025805454738367928,0.00011104313678035407,0.001195808679232413,0.001271051830590108,0.0013298545733648743,0.0013643758645754387,"transmon excited, odd photon"
Y,0.002348340526224346,3.874920994867457e-05,0.0015171257140504935,0.0016164661005637518,0.0008094402049749772,0.000753649032984281,"g, odd photon (wrong parity)"
dec,0.0020013330065510315,0.07696970418633696,0.0011778504683590866,0.0010774448368940984,0.0007643282171160626,0.000983042490803815,"g, even photon (outside code / radial)"
H,0.0016685964315957813,8.41768487420791e-05,0.0009712822299215995,0.0010041895685367157,0.0006916082234578925,0.0006701128414086555,"g, odd photon (wrong parity)"
Z,0.0007606573772144243,1.0036217231950121e-06,0.0003781282924631979,1.2720635199127864e-06,0.001138589432441838,3.3249661431897566e-06,"transmon excited, even photon"
I,0.0004755783990973983,7.877761322244802e-07,0.0009440442010052452,1.1444341609685638e-07,6.825198637517762e-06,1.7295527220073734e-07,"g, even photon (outside code / radial)"
T,0.00020915182267122745,2.5886554173314582e-06,0.0004152152160509237,5.197615655790806e-07,2.2378356551411134e-06,3.308321713247366e-07,"g, even photon (outside code / radial)"
