label,swept,lambda_deriv,lambda_boundary,lambda_amp,lambda_disc,amp_max,F_ped_heldout_mean,F_ped_heldout_min,robustness_spread,bandwidth_MHz,peak_amp,roughness,F_coh_train,overfit_gap,within_budget,n_seeds
deriv=1e-05_boundary=2e-05_amp=8e-05_disc=0.05,disc,1e-05,2e-05,8e-05,0.05,40.0,0.9959488769690512,0.9857887691590422,0.0117519770236358,8.77094300383947,18.733805381984816,1.2172730175341582,0.9975444032243316,0.0016111962501825,True,1
deriv=1e-05_boundary=6e-06_amp=8e-05_disc=0.5,boundary,1e-05,6e-06,8e-05,0.5,40.0,0.9958246814850404,0.9920031606383914,0.0044455576065951,11.215993661539937,19.759988653120455,1.3998031493038774,0.9964411486452188,0.0005965169941,True,1
deriv=1e-05_boundary=6e-05_amp=8e-05_disc=0.5,derivxboundary,1e-05,6e-05,8e-05,0.5,40.0,0.9956430283242752,0.982544033287354,0.015230055890045,8.630445261715101,20.18053294011054,1.229099391835398,0.9977791761607464,0.0021402819297717,True,1
deriv=1e-05_boundary=6e-05_amp=8e-05_disc=0.5,boundary,1e-05,6.000000000000001e-05,8e-05,0.5,40.0,0.9954954381593064,0.9811100503582584,0.0167594146460132,8.611948658622861,21.40731122549444,1.2295136428222473,0.997874539021063,0.0023844278413824,True,1
deriv=1e-05_boundary=0.0002_amp=8e-05_disc=0.5,boundary,1e-05,0.0002,8e-05,0.5,40.0,0.9947801891440436,0.9796028924320476,0.0182408688567062,8.60369669081378,18.235512010809806,1.0930188365858362,0.9978449687538606,0.002906447931266,True,1
deriv=3e-05_boundary=2e-05_amp=8e-05_disc=0.5,derivxboundary,3e-05,2e-05,8e-05,0.5,40.0,0.9942732642657344,0.9913632240462896,0.0033621473543702,5.842441649780757,24.391838748222607,1.0297823485529627,0.9946686298075992,0.0004030710267891,True,1
deriv=3e-05_boundary=2e-05_amp=8e-05_disc=0.5,deriv,3.0000000000000004e-05,2e-05,8e-05,0.5,40.0,0.994237962758923,0.9915106997774544,0.0031295985749218,5.914517826938438,24.083300405245833,1.0295619023882283,0.9946370609394324,0.0004097651887472,True,1
deriv=3e-05_boundary=6e-05_amp=8e-05_disc=0.5,derivxboundary,3e-05,6e-05,8e-05,0.5,40.0,0.992853317890576,0.9781716002541136,0.0168948275631064,7.223604030005549,23.08139633985261,0.9903687729384012,0.9950622878589576,0.0021640016637027,True,1
deriv=3e-05_boundary=0_amp=8e-05_disc=0.5,derivxboundary,3e-05,0.0,8e-05,0.5,40.0,0.9926726233008544,0.9831403178945122,0.0109290859143985,7.6536305828440625,21.36883818983022,1.124847297115401,0.9940613769750346,0.0013604524279612,True,1
deriv=0.0001_boundary=0.0002_amp=8e-05_disc=0.5,derivxboundary,0.0001,0.0002,8e-05,0.5,40.0,0.9920296001595896,0.9913603462983236,0.0007555024925479,6.519814185047814,14.353466852667156,0.6834202632841357,0.99210859543361,8.770229759480497e-05,True,1
deriv=3e-05_boundary=0.0002_amp=8e-05_disc=0.5,derivxboundary,3e-05,0.0002,8e-05,0.5,40.0,0.9918614134161776,0.9665598892243816,0.0294577383248898,7.577209773181166,16.349712133903274,0.9780706964553404,0.996024402829331,0.0041936666375055,True,1
deriv=0.0001_boundary=6e-05_amp=8e-05_disc=0.5,derivxboundary,0.0001,6e-05,8e-05,0.5,40.0,0.9918349482702776,0.9909283740934788,0.001025341818424,5.328477731644622,16.693764367857927,0.6799383209923348,0.9919271389744764,0.0001058237327021,True,1
deriv=0.0001_boundary=6e-06_amp=8e-05_disc=0.5,derivxboundary,0.0001,6e-06,8e-05,0.5,40.0,0.991407828499048,0.9908470473385078,0.0006619504306534,5.9279986089217225,17.25172839820532,0.7442466349789697,0.9915067953721336,9.634001856428932e-05,True,1
deriv=0.0001_boundary=0_amp=8e-05_disc=0.5,derivxboundary,0.0001,0.0,8e-05,0.5,40.0,0.9911637368240512,0.9789631671561642,0.0138696753790324,5.024562597785126,14.841278945569757,0.5859623347821374,0.9928273718974197,0.001652582993097,True,1
deriv=0.0001_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.0001,2e-05,8e-05,0.5,40.0,0.9872211199763749,0.9862108219422998,0.0011387724874539,7.029569635575953,16.594979413131465,0.7756038485063753,0.9872986222838273,0.0001282887188079,True,1
deriv=0_boundary=6e-05_amp=8e-05_disc=0.5,derivxboundary,0.0,6e-05,8e-05,0.5,40.0,0.9996854839260672,0.9985501329723444,0.001288153297828,18.3108007965294,35.1170385791777,3.776847484785564,0.9998428124042624,0.0001668681233706,False,1
deriv=0_boundary=0_amp=8e-05_disc=0.5,derivxboundary,0.0,0.0,8e-05,0.5,40.0,0.9996282892941786,0.9977691158062192,0.0021134548985839,17.253369859460065,28.7247061885867,3.1103775351980216,0.9998819340271408,0.0002499986669526,False,1
deriv=0_boundary=6e-06_amp=8e-05_disc=0.5,derivxboundary,0.0,6e-06,8e-05,0.5,40.0,0.9995778940281984,0.9978673104338376,0.001946134241316,16.24009796399146,32.38028116810886,3.1199194093240847,0.9998139170818728,0.0002339193012004,False,1
deriv=0_boundary=2e-05_amp=8e-05_disc=0.5,deriv,0.0,2e-05,8e-05,0.5,40.0,0.9993430463962978,0.9955709757619412,0.0042943217417231,16.90402263763918,35.22514644058058,3.162515497176975,0.9998651012892554,0.0005149352949472,False,1
deriv=0_boundary=0.0002_amp=8e-05_disc=0.5,derivxboundary,0.0,0.0002,8e-05,0.5,40.0,0.9981164659987708,0.986467517435992,0.013297609578888,16.63075782740838,34.78327827119536,2.8939191585441546,0.999775609827703,0.0016526020355328,False,1
