Gate,Closed_F,Open_F,Abs_drop,Rel_drop_pct
enc,0.9969033191819838,0.9885489844311334,0.008354334750850456,0.8380285821202467
dec,0.9979979831104022,0.9897886578663788,0.008209325244023402,0.8225793421383354
X,0.9974056713590919,0.9890854748274409,0.008320196531650947,0.8341838000894484
Y,0.9976456367637989,0.9891102866434066,0.008535350120392304,0.8555492858245338
Z,0.9992393425752661,0.9937348881367158,0.005504454438550299,0.550864462998832
H,0.9983308522561374,0.9902612009001328,0.00806965135600457,0.8083143316434515
T,0.9997908481718143,0.994944926531435,0.004845921640379336,0.4846935385776369
I,0.9995244215994221,0.9946586147810514,0.004865806818370677,0.48681219920414703
