pulse,F1,F_heldout_mean,trunc_spread,max_active_fock,F_ET (repo form),delta_qec_mean,leakage_mean,eta_0L_mean,eta_avg_mean,L(T),L last 48 ns,eta_0L(T),eta_avg(T),error-basis overlap(T)
"EsT, repo form",0.9992851667670563,0.999283600774086,8.030315716833769e-06,9,0.7300370372826079,0.15607383247314943,0.2575133424261956,0.16878778288919552,0.20871659095658604,0.39638227717543684,0.3923213792304286,0.0913461838890047,0.255040253271728,0.5886803187128161
Ord,0.9999994143530772,0.999999414631586,1.2881745670156874e-09,8,0.19404120537214653,0.48079521043976614,0.7399179258013566,1.1119310069069466,1.1853205207340423,0.8237824459630275,0.8250367084377682,1.548192243914879,1.1642178773426515,0.1132678298913472
"EsT, paper form",0.9979480660399936,0.9979345159895885,3.443480434128787e-05,13,0.7181017130619229,0.1573005006841428,0.26598716299152847,0.13378403848477366,0.22185050860457722,0.47039387241340797,0.4478454917526749,0.14626354210759213,0.7822818419233121,0.4106133689680603
