Gate,Pulse_file,Iterations,Final_bare_F,Best_seen_F_during_opt,Max_pairwise_disc,Wall_clock_s
enc,u_enc_main.npy,,0.9988545968881142,,3.7629946206818587e-06,
dec,u_dec_main.npy,,0.9963826099042855,,2.909301110909368e-06,
X,u_X_main.npy,,0.9982131414754459,,8.139658951300532e-06,
Y,u_Y_main.npy,,0.9986110735005395,,0.0004088061928492204,
Z,u_Z_main.npy,,0.9994211008091702,,7.517320099736935e-12,
H,u_H_main.npy,,0.9983022299068031,,2.358637618549153e-08,
T,u_T_main.npy,,0.9997896358542349,,4.8474557701183585e-12,
I,u_I_main.npy,,0.9995069424009829,,2.1245227799226996e-12,
